'au0001'	沪金连续	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
2009/04/08	193.98	195.80	193.68	195.53	18932.00	3688035328	25426						
2009/04/09	194.17	194.75	193.50	193.76	12082.00	2346838272	24544						
2009/04/10	193.68	194.65	193.50	194.59	7054.00	1370461952	23034						
2009/04/13	194.99	195.80	194.60	195.78	9956.00	1944274176	21870						
2009/04/14	196.80	198.40	196.75	197.95	11630.00	2296835328	19160	195.522					
2009/04/15	196.90	196.94	196.29	196.30	4498.00	884230976	18282	195.676					
2009/04/16	196.28	197.01	195.12	196.87	10318.00	2025349632	17124	196.298					
2009/04/17	193.38	193.38	192.08	192.42	15186.00	2923534080	19878	195.864					
2009/04/20	190.23	192.99	190.23	191.30	13318.00	2544831488	21248	194.968					
2009/04/21	195.58	197.00	195.20	196.64	23634.00	4629171200	22166	194.706	195.114				
2009/04/22	195.00	195.45	194.62	195.31	13610.00	2653895680	21104	194.508	195.092				
2009/04/23	197.27	197.50	196.08	196.70	14346.00	2822126080	20700	194.474	195.386				
2009/04/24	199.31	201.27	199.10	201.15	21460.00	4296202240	25128	196.22	196.042				
2009/04/27	201.91	201.96	201.00	201.43	17540.00	3533415424	25304	198.246	196.607				
2009/04/28	197.88	198.36	197.20	197.42	17454.00	3452594176	23466	198.402	196.554				
2009/04/29	196.00	197.81	195.87	197.20	14780.00	2908371968	23964	198.78	196.644				
2009/04/30	196.83	198.20	196.79	198.18	13456.00	2656448256	25160	199.076	196.775				
2009/05/04	196.00	197.60	195.41	197.31	21404.00	4211259648	29328	198.308	197.264				
2009/05/05	199.29	200.14	198.91	199.22	21654.00	4321479168	32020	197.866	198.056				
2009/05/06	198.06	199.28	197.88	198.99	16660.00	3308411904	31702	198.18	198.291	196.702			
2009/05/07	200.81	201.48	200.51	201.33	25708.00	5169432064	35276	199.006	198.893	196.992			
2009/05/08	201.33	202.10	201.08	201.75	20618.00	4154697472	35446	199.72	199.398	197.392			
2009/05/11	201.70	202.18	201.03	201.83	21098.00	4253899264	35688	200.624	199.466	197.754			
2009/05/12	201.29	201.29	200.48	200.73	16980.00	3409561088	35224	200.926	199.396	198.001			
2009/05/13	203.74	204.09	203.62	203.96	21262.00	4335094272	41832	201.92	200.05	198.302			
2009/05/14	203.22	203.65	202.72	202.72	14108.00	2867427840	41056	202.198	200.602	198.623			
2009/05/15	203.40	203.58	203.06	203.23	9952.00	2023703296	41200	202.494	201.107	198.941			
2009/05/18	203.84	204.66	203.84	204.53	15046.00	3073298432	40862	203.034	201.829	199.546			
2009/05/19	202.00	202.52	202.00	202.44	18764.00	3795379712	38358	203.376	202.151	200.104			
2009/05/20	203.32	203.78	203.11	203.73	9508.00	1934486528	37500	203.33	202.625	200.458	198.677		
2009/05/21	206.00	207.11	205.91	206.85	17934.00	3705006592	41742	204.156	203.177	201.035	199.054		
2009/05/22	209.10	209.20	208.07	208.39	19752.00	4120116480	41192	205.188	203.841	201.62	199.542		
2009/05/25	209.30	209.50	208.50	208.80	15162.00	3168836096	44822	206.042	204.538	202.002	200.015		
2009/05/26	209.03	209.08	208.01	208.02	11978.00	2499014656	45500	207.158	205.267	202.331	200.423		
2009/05/27	207.88	208.20	207.20	207.98	12912.00	2682176000	44250	208.008	205.669	202.859	200.758		
2009/06/01	214.15	215.37	213.80	215.02	21484.00	4610370560	48166	209.642	206.899	203.751	201.382		
2009/06/02	213.50	214.35	212.02	212.15	22006.00	4697694720	49366	210.394	207.791	204.449	201.891		
