date,open,high,low,close,volume,turnover
2009-04-08,193.98,195.80,193.68,195.53,18932.00,3688035328
2009-04-09,194.17,194.75,193.50,193.76,12082.00,2346838272
2009-04-10,193.68,194.65,193.50,194.59,7054.00,1370461952
2009-04-13,194.99,195.80,194.60,195.78,9956.00,1944274176
2009-04-14,196.80,198.40,196.75,197.95,11630.00,2296835328
2009-04-15,196.90,196.94,196.29,196.30,4498.00,884230976
2009-04-16,196.28,197.01,195.12,196.87,10318.00,2025349632
2009-04-17,193.38,193.38,192.08,192.42,15186.00,2923534080
2009-04-20,190.23,192.99,190.23,191.30,13318.00,2544831488
2009-04-21,195.58,197.00,195.20,196.64,23634.00,4629171200
2009-04-22,195.00,195.45,194.62,195.31,13610.00,2653895680
2009-04-23,197.27,197.50,196.08,196.70,14346.00,2822126080
2009-04-24,199.31,201.27,199.10,201.15,21460.00,4296202240
2009-04-27,201.91,201.96,201.00,201.43,17540.00,3533415424
2009-04-28,197.88,198.36,197.20,197.42,17454.00,3452594176
2009-04-29,196.00,197.81,195.87,197.20,14780.00,2908371968
2009-04-30,196.83,198.20,196.79,198.18,13456.00,2656448256
2009-05-04,196.00,197.60,195.41,197.31,21404.00,4211259648
2009-05-05,199.29,200.14,198.91,199.22,21654.00,4321479168
2009-05-06,198.06,199.28,197.88,198.99,16660.00,3308411904
2009-05-07,200.81,201.48,200.51,201.33,25708.00,5169432064
2009-05-08,201.33,202.10,201.08,201.75,20618.00,4154697472
2009-05-11,201.70,202.18,201.03,201.83,21098.00,4253899264
2009-05-12,201.29,201.29,200.48,200.73,16980.00,3409561088
2009-05-13,203.74,204.09,203.62,203.96,21262.00,4335094272
2009-05-14,203.22,203.65,202.72,202.72,14108.00,2867427840
2009-05-15,203.40,203.58,203.06,203.23,9952.00,2023703296
2009-05-18,203.84,204.66,203.84,204.53,15046.00,3073298432
2009-05-19,202.00,202.52,202.00,202.44,18764.00,3795379712
2009-05-20,203.32,203.78,203.11,203.73,9508.00,1934486528
2009-05-21,206.00,207.11,205.91,206.85,17934.00,3705006592
2009-05-22,209.10,209.20,208.07,208.39,19752.00,4120116480
2009-05-25,209.30,209.50,208.50,208.80,15162.00,3168836096
2009-05-26,209.03,209.08,208.01,208.02,11978.00,2499014656
2009-05-27,207.88,208.20,207.20,207.98,12912.00,2682176000
2009-06-01,214.15,215.37,213.80,215.02,21484.00,4610370560
2009-06-02,213.50,214.35,212.02,212.15,22006.00,4697694720
2009-06-03,215.15,216.21,214.68,216.18,27090.00,5834189824
2009-06-04,211.90,212.21,211.35,211.96,22964.00,4864045056
2009-06-05,214.00,214.40,213.73,214.32,18306.00,3919917568
2009-06-08,209.25,210.39,209.15,209.42,22658.00,4754140160
2009-06-09,209.26,209.35,208.08,209.12,20136.00,4205821440
2009-06-10,209.92,210.59,209.68,209.84,19594.00,4117502208
2009-06-11,209.01,210.05,208.81,209.48,15150.00,3172259584
2009-06-12,210.00,210.15,208.56,208.92,15106.00,3162631424
2009-06-15,205.10,206.00,204.61,204.87,21978.00,4512198656
2009-06-16,204.60,205.37,204.60,205.34,24762.00,5077024768
2009-06-17,204.77,206.38,204.50,206.30,17560.00,3606351616
2009-06-18,206.52,206.75,205.80,206.43,13106.00,2705288448
2009-06-19,205.73,205.75,204.90,205.04,12756.00,2619062272
2009-06-22,205.00,205.49,204.75,205.00,13614.00,2792398848
2009-06-23,202.01,202.50,200.90,201.60,28548.00,5761778688
2009-06-24,202.90,203.90,202.63,203.90,16324.00,3317825792
2009-06-25,204.53,205.70,204.41,205.48,15088.00,3095560960
2009-06-26,206.61,207.19,206.36,207.11,14748.00,3050694400
2009-06-29,206.28,206.28,205.25,205.92,13026.00,2678873088
2009-06-30,206.32,207.70,206.32,207.37,15454.00,3200040960
2009-07-01,204.15,204.48,203.77,204.45,17094.00,3489732352
2009-07-02,206.34,206.70,205.86,206.06,13820.00,2850982912
2009-07-03,204.90,205.25,204.65,205.14,11130.00,2281299968
2009-07-06,204.03,204.58,203.26,203.41,13208.00,2694029568
2009-07-07,203.45,203.65,202.97,203.16,13572.00,2758773248
2009-07-08,202.74,203.22,201.87,202.85,11952.00,2422926848
2009-07-09,200.01,201.15,200.01,201.06,14952.00,3001889792
2009-07-10,200.90,201.42,200.50,200.55,10914.00,2193016064
2009-07-13,201.13,201.45,199.88,200.10,11398.00,2286148096
2009-07-14,201.82,202.67,201.62,202.35,12674.00,2561519872
