date,open,high,low,close,volume,turnover
1993-09-15,19100.0000,19100.0000,19060.0000,19070.0000,121.00,19700
1993-09-17,18950.0000,18950.0000,18920.0000,18930.0000,172.00,19225
1993-09-20,18700.0000,18760.0000,18650.0000,18730.0000,396.00,1000
1993-09-22,18660.0000,18670.0000,18560.0000,18560.0000,460.00,1000
1993-09-24,18500.0000,18610.0000,18500.0000,18600.0000,304.00,1000
1993-09-27,18600.0000,18600.0000,18590.0000,18590.0000,138.00,1000
1993-09-29,18350.0000,18370.0000,18290.0000,18360.0000,312.00,1000
1993-10-04,17900.0000,17900.0000,17850.0000,17860.0000,416.00,1000
1993-10-06,17820.0000,17900.0000,17820.0000,17890.0000,202.00,1000
1993-10-08,17950.0000,17970.0000,17950.0000,17950.0000,202.00,1000
1993-10-11,17750.0000,17780.0000,17750.0000,17770.0000,148.00,1000
1993-10-12,17800.0000,17800.0000,17800.0000,17800.0000,116.00,1000
1993-10-13,17550.0000,17560.0000,17540.0000,17540.0000,478.00,1000
1993-10-14,17350.0000,17400.0000,17350.0000,17400.0000,478.00,1000
1993-11-15,18150.0000,18180.0000,18080.0000,18080.0000,2000.00,148350
1993-11-16,17900.0000,17900.0000,17800.0000,17800.0000,3274.00,154600
1993-11-17,17650.0000,17650.0000,17600.0000,17610.0000,1214.00,145825
1993-11-18,17600.0000,17700.0000,17600.0000,17700.0000,3504.00,152475
1993-11-19,17880.0000,17880.0000,17860.0000,17870.0000,944.00,158350
1993-11-22,17950.0000,17950.0000,17870.0000,17890.0000,1818.00,160500
1993-11-23,17880.0000,17880.0000,17800.0000,17800.0000,1638.00,163850
1993-11-24,17700.0000,17740.0000,17700.0000,17730.0000,346.00,165525
1993-11-25,17790.0000,17790.0000,17790.0000,17790.0000,1040.00,165250
1993-11-29,17990.0000,17990.0000,17960.0000,17970.0000,418.00,167200
1993-11-30,18220.0000,18260.0000,18220.0000,18260.0000,258.00,167200
1993-12-01,18320.0000,18350.0000,18310.0000,18350.0000,1092.00,167200
1993-12-02,18450.0000,18480.0000,18430.0000,18440.0000,2202.00,167200
1993-12-03,18470.0000,18500.0000,18440.0000,18500.0000,666.00,157100
1993-12-06,18400.0000,18430.0000,18400.0000,18430.0000,666.00,157100
1993-12-07,18600.0000,18600.0000,18540.0000,18590.0000,2280.00,149900
1993-12-08,18720.0000,18760.0000,18720.0000,18730.0000,2578.00,144100
1993-12-09,18700.0000,18700.0000,18560.0000,18590.0000,2578.00,144100
1993-12-10,18550.0000,18600.0000,18550.0000,18600.0000,2578.00,144100
1993-12-13,19000.0000,19000.0000,18900.0000,18920.0000,6486.00,117725
1993-12-14,19150.0000,19160.0000,19100.0000,19160.0000,2650.00,110600
1993-12-15,19450.0000,19450.0000,19380.0000,19420.0000,918.00,0
1993-12-16,19600.0000,19750.0000,19600.0000,19750.0000,636.00,0
1993-12-20,20000.0000,20380.0000,20000.0000,20320.0000,1644.00,0
1993-12-21,20700.0000,20820.0000,20500.0000,20500.0000,1776.00,0
1993-12-22,20200.0000,20200.0000,19980.0000,20050.0000,1276.00,0
1993-12-23,20000.0000,20280.0000,20000.0000,20170.0000,1618.00,0
1993-12-24,20250.0000,20250.0000,20140.0000,20200.0000,788.00,0
1993-12-27,20400.0000,20400.0000,20360.0000,20390.0000,384.00,0
1993-12-28,20400.0000,20550.0000,20400.0000,20550.0000,784.00,0
1993-12-29,20500.0000,20600.0000,20330.0000,20520.0000,494.00,0
1993-12-30,20850.0000,20950.0000,20800.0000,20900.0000,1186.00,0
