'cu0001'	沪铜连续	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
1993/09/15	19100.0000	19100.0000	19060.0000	19070.0000	121.00	19700	0						
1993/09/17	18950.0000	18950.0000	18920.0000	18930.0000	172.00	19225	0						
1993/09/20	18700.0000	18760.0000	18650.0000	18730.0000	396.00	1000	0						
1993/09/22	18660.0000	18670.0000	18560.0000	18560.0000	460.00	1000	0						
1993/09/24	18500.0000	18610.0000	18500.0000	18600.0000	304.00	1000	0	18778					
1993/09/27	18600.0000	18600.0000	18590.0000	18590.0000	138.00	1000	0	18682					
1993/09/29	18350.0000	18370.0000	18290.0000	18360.0000	312.00	1000	0	18568					
1993/10/04	17900.0000	17900.0000	17850.0000	17860.0000	416.00	1000	0	18394					
1993/10/06	17820.0000	17900.0000	17820.0000	17890.0000	202.00	1000	0	18260					
1993/10/08	17950.0000	17970.0000	17950.0000	17950.0000	202.00	1000	0	18130	18454				
1993/10/11	17750.0000	17780.0000	17750.0000	17770.0000	148.00	1000	0	17966	18324				
1993/10/12	17800.0000	17800.0000	17800.0000	17800.0000	116.00	1000	0	17854	18211				
1993/10/13	17550.0000	17560.0000	17540.0000	17540.0000	478.00	1000	0	17790	18092				
1993/10/14	17350.0000	17400.0000	17350.0000	17400.0000	478.00	1000	0	17692	17976				
1993/11/15	18150.0000	18180.0000	18080.0000	18080.0000	2000.00	148350	0	17718	17924				
1993/11/16	17900.0000	17900.0000	17800.0000	17800.0000	3274.00	154600	0	17724	17845				
1993/11/17	17650.0000	17650.0000	17600.0000	17610.0000	1214.00	145825	0	17686	17770				
1993/11/18	17600.0000	17700.0000	17600.0000	17700.0000	3504.00	152475	0	17718	17754				
1993/11/19	17880.0000	17880.0000	17860.0000	17870.0000	944.00	158350	0	17812	17752				
1993/11/22	17950.0000	17950.0000	17870.0000	17890.0000	1818.00	160500	0	17774	17746	18100			
1993/11/23	17880.0000	17880.0000	17800.0000	17800.0000	1638.00	163850	0	17774	17749	18036.5			
1993/11/24	17700.0000	17740.0000	17700.0000	17730.0000	346.00	165525	0	17798	17742	17976.5			
1993/11/25	17790.0000	17790.0000	17790.0000	17790.0000	1040.00	165250	0	17816	17767	17929.5			
1993/11/29	17990.0000	17990.0000	17960.0000	17970.0000	418.00	167200	0	17836	17824	17900			
1993/11/30	18220.0000	18260.0000	18220.0000	18260.0000	258.00	167200	0	17910	17842	17883			
1993/12/01	18320.0000	18350.0000	18310.0000	18350.0000	1092.00	167200	0	18020	17897	17871			
1993/12/02	18450.0000	18480.0000	18430.0000	18440.0000	2202.00	167200	0	18162	17980	17875			
1993/12/03	18470.0000	18500.0000	18440.0000	18500.0000	666.00	157100	0	18304	18060	17907			
1993/12/06	18400.0000	18430.0000	18400.0000	18430.0000	666.00	157100	0	18396	18116	17934			
1993/12/07	18600.0000	18600.0000	18540.0000	18590.0000	2280.00	149900	0	18462	18186	17966	18128.666		
1993/12/08	18720.0000	18760.0000	18720.0000	18730.0000	2578.00	144100	0	18538	18279	18014	18117.334		
1993/12/09	18700.0000	18700.0000	18560.0000	18590.0000	2578.00	144100	0	18568	18365	18053.5	18106		
1993/12/10	18550.0000	18600.0000	18550.0000	18600.0000	2578.00	144100	0	18588	18446	18106.5	18101.666		
1993/12/13	19000.0000	19000.0000	18900.0000	18920.0000	6486.00	117725	0	18686	18541	18182.5	18113.666		
1993/12/14	19150.0000	19160.0000	19100.0000	19160.0000	2650.00	110600	0	18800	18631	18236.5	18132.334		
