date,open,high,low,close,volume,turnover
2012-10-15,10365.0000,10438.0000,10344.0000,10383.0000,41546.00,0
2012-10-16,10430.0000,10462.0000,10326.0000,10382.0000,41366.00,0
2012-10-17,10480.0000,10541.0000,10435.0000,10501.0000,53550.00,0
2012-10-18,10562.0000,10702.0000,10520.0000,10693.0000,64315.00,0
2012-10-19,10670.0000,10744.0000,10659.0000,10701.0000,45168.00,0
2012-10-24,10624.0000,10726.0000,10607.0000,10616.0000,67996.00,0
2012-10-25,10618.0000,10706.0000,10555.0000,10631.0000,100836.00,0
2012-10-26,10653.0000,10653.0000,10392.0000,10433.0000,130151.00,0
2012-10-29,10438.0000,10596.0000,10434.0000,10540.0000,95564.00,0
2012-10-30,10522.0000,10607.0000,10478.0000,10488.0000,10853.00,0
2012-10-31,10522.0000,10613.0000,10495.0000,10607.0000,33510.00,0
2012-11-01,10552.0000,10757.0000,10490.0000,10750.0000,49727.00,0
2012-11-02,10836.0000,10929.0000,10826.0000,10844.0000,47361.00,0
2012-11-05,10811.0000,10891.0000,10763.0000,10788.0000,32624.00,0
2012-11-06,10807.0000,10829.0000,10642.0000,10738.0000,39325.00,0
2012-11-07,10783.0000,10838.0000,10638.0000,10816.0000,50109.00,0
2012-11-08,10650.0000,10720.0000,10507.0000,10516.0000,52114.00,0
2012-11-09,10422.0000,10518.0000,10410.0000,10433.0000,47788.00,0
2012-11-12,10464.0000,10530.0000,10426.0000,10434.0000,30549.00,0
2012-11-13,10440.0000,10440.0000,10225.0000,10247.0000,48648.00,0
2012-11-14,10270.0000,10403.0000,10240.0000,10389.0000,39046.00,0
2012-11-15,10286.0000,10330.0000,10201.0000,10240.0000,45105.00,0
2012-11-16,10268.0000,10294.0000,10205.0000,10248.0000,38344.00,0
2012-11-19,10289.0000,10340.0000,10202.0000,10279.0000,40248.00,0
2012-11-20,10387.0000,10419.0000,10221.0000,10242.0000,41469.00,0
2012-11-21,10290.0000,10412.0000,10217.0000,10381.0000,51788.00,0
2012-11-22,10433.0000,10539.0000,10376.0000,10488.0000,50297.00,0
2012-11-23,10501.0000,10625.0000,10491.0000,10584.0000,55215.00,0
2012-11-26,10669.0000,10679.0000,10529.0000,10556.0000,83552.00,0
2012-11-27,10619.0000,10664.0000,10504.0000,10507.0000,129209.00,0
2012-11-28,10468.0000,10470.0000,10336.0000,10389.0000,106418.00,0
2012-11-29,10489.0000,10521.0000,10445.0000,10489.0000,12406.00,0
2012-11-30,10527.0000,10687.0000,10487.0000,10630.0000,56772.00,0
2012-12-03,10669.0000,10705.0000,10411.0000,10449.0000,46874.00,0
2012-12-04,10410.0000,10548.0000,10369.0000,10507.0000,40074.00,0
2012-12-05,10555.0000,10875.0000,10525.0000,10867.0000,68538.00,0
2012-12-06,10865.0000,10923.0000,10829.0000,10861.0000,41695.00,0
2012-12-07,10919.0000,11047.0000,10899.0000,10944.0000,46580.00,0
2012-12-10,11016.0000,11064.0000,10960.0000,10981.0000,45966.00,0
2012-12-11,11046.0000,11085.0000,10969.0000,10980.0000,41308.00,0
2012-12-12,11056.0000,11190.0000,11048.0000,11170.0000,45266.00,0
2012-12-13,11167.0000,11255.0000,11090.0000,11151.0000,44270.00,0
2012-12-14,11116.0000,11382.0000,11077.0000,11326.0000,56726.00,0
2012-12-17,11303.0000,11398.0000,11262.0000,11297.0000,49137.00,0
2012-12-18,11342.0000,11397.0000,11275.0000,11313.0000,49852.00,0
2012-12-19,11395.0000,11441.0000,11333.0000,11399.0000,62662.00,0
2012-12-20,11350.0000,11391.0000,11241.0000,11336.0000,92329.00,0
2012-12-21,11298.0000,11318.0000,11189.0000,11229.0000,114237.00,0
2012-12-24,11221.0000,11333.0000,11187.0000,11273.0000,36615.00,0
2012-12-27,11366.0000,11452.0000,11343.0000,11356.0000,63918.00,0
2012-12-28,11420.0000,11432.0000,11360.0000,11363.0000,9259.00,0
2012-12-31,11273.0000,11461.0000,11273.0000,11451.0000,21744.00,0
2013-01-02,11559.0000,11900.0000,11559.0000,11841.0000,47617.00,0
2013-01-03,11979.0000,12040.0000,11871.0000,12038.0000,43251.00,0
2013-01-04,12007.0000,12009.0000,11841.0000,11901.0000,44385.00,0
2013-01-07,11928.0000,12004.0000,11877.0000,11954.0000,37097.00,0
2013-01-08,11970.0000,11970.0000,11681.0000,11700.0000,54175.00,0
2013-01-09,11783.0000,11867.0000,11743.0000,11794.0000,38040.00,0
2013-01-10,11870.0000,12037.0000,11773.0000,11940.0000,44880.00,0
2013-01-11,12021.0000,12046.0000,11801.0000,11879.0000,45711.00,0
2013-01-14,11840.0000,12043.0000,11840.0000,11973.0000,42678.00,0
2013-01-15,12000.0000,12106.0000,11921.0000,11990.0000,40088.00,0
2013-01-16,12017.0000,12017.0000,11797.0000,11893.0000,48348.00,0
2013-01-17,11927.0000,11985.0000,11753.0000,11872.0000,46155.00,0
2013-01-18,12013.0000,12128.0000,11981.0000,12111.0000,65914.00,0
2013-01-21,12041.0000,12162.0000,12041.0000,12133.0000,43202.00,0
2013-01-22,12169.0000,12266.0000,12073.0000,12202.0000,60813.00,0
2013-01-23,12229.0000,12244.0000,12084.0000,12134.0000,48522.00,0
2013-01-24,12069.0000,12250.0000,12052.0000,12105.0000,75178.00,0
2013-01-25,12149.0000,12149.0000,11925.0000,12002.0000,97305.00,0
2013-01-28,12040.0000,12137.0000,11978.0000,12079.0000,125504.00,0
2013-01-29,12041.0000,12153.0000,12012.0000,12066.0000,96673.00,0
2013-01-30,12127.0000,12230.0000,12110.0000,12175.0000,13714.00,0
2013-01-31,12167.0000,12177.0000,12006.0000,12146.0000,50747.00,0
2013-02-01,12130.0000,12255.0000,11987.0000,12217.0000,61939.00,0
2013-02-04,12282.0000,12379.0000,12120.0000,12140.0000,49608.00,0
2013-02-05,11925.0000,11965.0000,11777.0000,11795.0000,67634.00,0
2013-02-06,11920.0000,11951.0000,11816.0000,11829.0000,49623.00,0
2013-02-07,11843.0000,11855.0000,11644.0000,11649.0000,48394.00,0
2013-02-08,11633.0000,11687.0000,11574.0000,11634.0000,47488.00,0
2013-02-14,11773.0000,11885.0000,11712.0000,11819.0000,31614.00,0
2013-02-15,11777.0000,11875.0000,11724.0000,11859.0000,30047.00,0
2013-02-18,11847.0000,11895.0000,11672.0000,11715.0000,38781.00,0
2013-02-19,11733.0000,11784.0000,11515.0000,11543.0000,47416.00,0
2013-02-20,11600.0000,11667.0000,11538.0000,11643.0000,41683.00,0
2013-02-21,11530.0000,11534.0000,11339.0000,11402.0000,78350.00,0
2013-02-22,11344.0000,11417.0000,11303.0000,11317.0000,85826.00,0
2013-02-25,11345.0000,11433.0000,11304.0000,11370.0000,125265.00,0
2013-02-26,11205.0000,11312.0000,11079.0000,11132.0000,117715.00,0
2013-02-27,11153.0000,11200.0000,11097.0000,11124.0000,14282.00,0
2013-02-28,11289.0000,11465.0000,11235.0000,11424.0000,65706.00,0
2013-03-01,11368.0000,11441.0000,11314.0000,11358.0000,38659.00,0
2013-03-04,11315.0000,11353.0000,11046.0000,11121.0000,54258.00,0
2013-03-05,11178.0000,11237.0000,11108.0000,11147.0000,44341.00,0
2013-03-06,11299.0000,11410.0000,11262.0000,11343.0000,43880.00,0
2013-03-07,11303.0000,11376.0000,11216.0000,11328.0000,41961.00,0
2013-03-08,11347.0000,11556.0000,11337.0000,11539.0000,51705.00,0
2013-03-11,11510.0000,11577.0000,11417.0000,11463.0000,42045.00,0
2013-03-12,11450.0000,11584.0000,11261.0000,11267.0000,62874.00,0
2013-03-13,11289.0000,11297.0000,10999.0000,11022.0000,59124.00,0
2013-03-14,10997.0000,11159.0000,10885.0000,11097.0000,53821.00,0
2013-03-15,11153.0000,11219.0000,10916.0000,10940.0000,68732.00,0
2013-03-18,10821.0000,10870.0000,10701.0000,10830.0000,60100.00,0
2013-03-19,10873.0000,10917.0000,10712.0000,10722.0000,50764.00,0
2013-03-20,10719.0000,11006.0000,10701.0000,10961.0000,62648.00,0
2013-03-21,10965.0000,11124.0000,10900.0000,10942.0000,57593.00,0
2013-03-22,10887.0000,10985.0000,10829.0000,10911.0000,61488.00,0
2013-03-25,11019.0000,11059.0000,10938.0000,10976.0000,150095.00,0
2013-03-26,10906.0000,10971.0000,10840.0000,10907.0000,116419.00,0
2013-03-27,10966.0000,11112.0000,10953.0000,11044.0000,15773.00,0
2013-03-28,10980.0000,10980.0000,10770.0000,10885.0000,56302.00,0
2013-04-02,10771.0000,11016.0000,10745.0000,10827.0000,50294.00,0
2013-04-03,10882.0000,10882.0000,10721.0000,10778.0000,37206.00,0
2013-04-05,10726.0000,10726.0000,10400.0000,10433.0000,59563.00,0
2013-04-08,10404.0000,10428.0000,10396.0000,10424.0000,45018.00,0
2013-04-09,10612.0000,10614.0000,10560.0000,10591.0000,57903.00,0
2013-04-10,10675.0000,10790.0000,10670.0000,10789.0000,52037.00,0
2013-04-11,10730.0000,10743.0000,10681.0000,10726.0000,54624.00,0
2013-04-12,10734.0000,10751.0000,10535.0000,10537.0000,37842.00,0
2013-04-15,10585.0000,10596.0000,10379.0000,10405.0000,63224.00,0
2013-04-16,10302.0000,10498.0000,10282.0000,10383.0000,51347.00,0
2013-04-17,10446.0000,10460.0000,10175.0000,10175.0000,53296.00,0
2013-04-18,10189.0000,10381.0000,10142.0000,10282.0000,71859.00,0
2013-04-19,10263.0000,10621.0000,10256.0000,10541.0000,64636.00,0
2013-04-22,10536.0000,10652.0000,10497.0000,10556.0000,43626.00,0
2013-04-23,10576.0000,10619.0000,10353.0000,10563.0000,73952.00,0
2013-04-24,10565.0000,10668.0000,10516.0000,10657.0000,105088.00,0
2013-04-25,10648.0000,10907.0000,10643.0000,10883.0000,150034.00,0
2013-04-26,10840.0000,10961.0000,10785.0000,10794.0000,117954.00,0
2013-04-30,10852.0000,10945.0000,10838.0000,10885.0000,36848.00,0
2013-05-02,10812.0000,10824.0000,10691.0000,10801.0000,40021.00,0
2013-05-03,10850.0000,11003.0000,10786.0000,10998.0000,47458.00,0
2013-05-06,10990.0000,11065.0000,10920.0000,10975.0000,45980.00,0
2013-05-07,10973.0000,11186.0000,10913.0000,11163.0000,49846.00,0
2013-05-08,11157.0000,11303.0000,11122.0000,11284.0000,56371.00,0
2013-05-09,11313.0000,11374.0000,11177.0000,11201.0000,54368.00,0
2013-05-10,11228.0000,11348.0000,11212.0000,11260.0000,40506.00,0
2013-05-13,11251.0000,11273.0000,11038.0000,11075.0000,45780.00,0
2013-05-14,11100.0000,11176.0000,10955.0000,11111.0000,40327.00,0
2013-05-15,11075.0000,11139.0000,11027.0000,11048.0000,37671.00,0
2013-05-16,11080.0000,11089.0000,10922.0000,11002.0000,52088.00,0
2013-05-20,11108.0000,11244.0000,11104.0000,11130.0000,50273.00,0
2013-05-21,11112.0000,11129.0000,11027.0000,11032.0000,33773.00,0
2013-05-22,11109.0000,11168.0000,10942.0000,11088.0000,41101.00,0
2013-05-23,10947.0000,11012.0000,10608.0000,10642.0000,98057.00,0
2013-05-24,10778.0000,10826.0000,10585.0000,10609.0000,79380.00,0
2013-05-28,10765.0000,10927.0000,10695.0000,10914.0000,121128.00,0
2013-05-29,10866.0000,10879.0000,10650.0000,10658.0000,108024.00,0
2013-05-30,10700.0000,10835.0000,10625.0000,10680.0000,10414.00,0
2013-05-31,10482.0000,10487.0000,10252.0000,10286.0000,58499.00,0
2013-06-03,10259.0000,10402.0000,10233.0000,10253.0000,45175.00,0
2013-06-04,10310.0000,10355.0000,10239.0000,10262.0000,37860.00,0
2013-06-05,10217.0000,10244.0000,10105.0000,10115.0000,52113.00,0
2013-06-06,10140.0000,10176.0000,10008.0000,10048.0000,44789.00,0
2013-06-07,10126.0000,10156.0000,9960.0000,10093.0000,55996.00,0
2013-06-10,10040.0000,10079.0000,9866.0000,9933.0000,48471.00,0
2013-06-11,9910.0000,9941.0000,9671.0000,9719.0000,57048.00,0
2013-06-13,9670.0000,9749.0000,9405.0000,9735.0000,90286.00,0
2013-06-14,9708.0000,9720.0000,9471.0000,9490.0000,62011.00,0
2013-06-17,9565.0000,9777.0000,9563.0000,9712.0000,60551.00,0
2013-06-18,9618.0000,9680.0000,9538.0000,9648.0000,51817.00,0
2013-06-19,9649.0000,9657.0000,9475.0000,9572.0000,77878.00,0
2013-06-20,9467.0000,9469.0000,9054.0000,9142.0000,93372.00,0
2013-06-21,9022.0000,9277.0000,9015.0000,9099.0000,106650.00,0
2013-06-24,9046.0000,9124.0000,8755.0000,8785.0000,156372.00,0
2013-06-25,8908.0000,9055.0000,8617.0000,8964.0000,236031.00,0
2013-06-26,9035.0000,9204.0000,8924.0000,9165.0000,147553.00,0
2013-06-28,9220.0000,9311.0000,9135.0000,9232.0000,74485.00,0
2013-07-02,9253.0000,9375.0000,9162.0000,9221.0000,57144.00,0
2013-07-03,9148.0000,9156.0000,8881.0000,8949.0000,79944.00,0
2013-07-04,8989.0000,9120.0000,8946.0000,9110.0000,47604.00,0
2013-07-05,9125.0000,9253.0000,8972.0000,8990.0000,57238.00,0
2013-07-08,9054.0000,9150.0000,8865.0000,9144.0000,68451.00,0
2013-07-09,9120.0000,9141.0000,8986.0000,9105.0000,59608.00,0
2013-07-10,9125.0000,9274.0000,9026.0000,9174.0000,78085.00,0
2013-07-11,9334.0000,9639.0000,9332.0000,9548.0000,109553.00,0
2013-07-12,9616.0000,9623.0000,9384.0000,9387.0000,72167.00,0
2013-07-15,9416.0000,9564.0000,9360.0000,9443.0000,53787.00,0
2013-07-16,9421.0000,9479.0000,9332.0000,9430.0000,49159.00,0
2013-07-17,9414.0000,9572.0000,9380.0000,9529.0000,58344.00,0
2013-07-18,9515.0000,9542.0000,9416.0000,9542.0000,54387.00,0
2013-07-19,9472.0000,9516.0000,9342.0000,9485.0000,60403.00,0
2013-07-22,9550.0000,9550.0000,9338.0000,9456.0000,51917.00,0
2013-07-23,9500.0000,9818.0000,9485.0000,9760.0000,117664.00,0
2013-07-24,9733.0000,9795.0000,9662.0000,9721.0000,76343.00,0
2013-07-25,9709.0000,9801.0000,9683.0000,9709.0000,100667.00,0
2013-07-26,9730.0000,9870.0000,9648.0000,9653.0000,140626.00,0
2013-07-29,9695.0000,9706.0000,9560.0000,9651.0000,104847.00,0
2013-07-31,9651.0000,9780.0000,9600.0000,9644.0000,49778.00,0
2013-08-01,9700.0000,9809.0000,9667.0000,9777.0000,57951.00,0
2013-08-02,9865.0000,9879.0000,9708.0000,9791.0000,41086.00,0
2013-08-05,9798.0000,9803.0000,9673.0000,9686.0000,33384.00,0
2013-08-06,9662.0000,9700.0000,9505.0000,9562.0000,49915.00,0
2013-08-07,9522.0000,9638.0000,9412.0000,9452.0000,56329.00,0
2013-08-08,9460.0000,9588.0000,9445.0000,9458.0000,47272.00,0
2013-08-09,9555.0000,9656.0000,9531.0000,9632.0000,47165.00,0
2013-08-12,9612.0000,9950.0000,9570.0000,9932.0000,76427.00,0
2013-08-13,9975.0000,10219.0000,9903.0000,10138.0000,77283.00,0
2013-08-14,10198.0000,10198.0000,10198.0000,10198.0000,0.00,0
2013-08-15,10175.0000,10318.0000,10074.0000,10110.0000,62274.00,0
2013-08-16,10135.0000,10382.0000,10075.0000,10242.0000,81252.00,0
2013-08-19,10174.0000,10286.0000,10132.0000,10199.0000,43810.00,0
2013-08-20,10129.0000,10251.0000,9847.0000,9931.0000,84640.00,0
2013-08-21,9931.0000,9961.0000,9742.0000,9769.0000,58583.00,0
2013-08-22,9690.0000,10007.0000,9680.0000,10004.0000,78078.00,0
2013-08-23,10016.0000,10104.0000,9863.0000,9988.0000,71153.00,0
2013-08-26,10000.0000,10139.0000,9960.0000,10116.0000,97205.00,0
2013-08-27,10045.0000,10083.0000,9853.0000,9861.0000,152595.00,0
2013-08-28,9879.0000,9888.0000,9709.0000,9817.0000,120022.00,0
2013-08-30,9780.0000,9835.0000,9683.0000,9692.0000,39965.00,0
2013-09-02,9852.0000,10065.0000,9845.0000,10058.0000,55193.00,0
2013-09-03,10100.0000,10285.0000,10076.0000,10148.0000,78538.00,0
2013-09-04,10113.0000,10293.0000,10069.0000,10290.0000,56627.00,0
2013-09-05,10315.0000,10411.0000,10305.0000,10348.0000,57369.00,0
2013-09-06,10325.0000,10498.0000,10286.0000,10471.0000,45521.00,0
2013-09-09,10470.0000,10585.0000,10426.0000,10585.0000,55837.00,0
2013-09-10,10685.0000,10800.0000,10612.0000,10793.0000,64511.00,0
2013-09-11,10768.0000,10799.0000,10591.0000,10663.0000,62754.00,0
2013-09-12,10692.0000,10750.0000,10617.0000,10645.0000,50682.00,0
2013-09-13,10623.0000,10642.0000,10464.0000,10570.0000,49913.00,0
2013-09-16,10740.0000,10769.0000,10663.0000,10746.0000,52913.00,0
2013-09-17,10726.0000,10743.0000,10614.0000,10670.0000,46350.00,0
2013-09-18,10698.0000,10725.0000,10565.0000,10603.0000,49375.00,0
2013-09-19,10855.0000,10870.0000,10734.0000,10759.0000,69241.00,0
2013-09-23,10731.0000,10788.0000,10636.0000,10699.0000,57869.00,0
2013-09-24,10675.0000,10727.0000,10538.0000,10646.0000,140845.00,0
2013-09-25,10630.0000,10706.0000,10525.0000,10568.0000,113623.00,0
2013-09-26,10561.0000,10613.0000,10481.0000,10546.0000,106813.00,0
2013-09-30,10431.0000,10431.0000,10250.0000,10302.0000,49285.00,0
2013-10-02,10399.0000,10438.0000,10307.0000,10377.0000,38488.00,0
2013-10-03,10419.0000,10544.0000,10377.0000,10466.0000,36148.00,0
2013-10-04,10399.0000,10587.0000,10383.0000,10569.0000,31591.00,0
2013-10-07,10509.0000,10525.0000,10330.0000,10494.0000,48067.00,0
2013-10-08,10333.0000,10588.0000,10325.0000,10500.0000,43140.00,0
2013-10-09,10426.0000,10526.0000,10403.0000,10458.0000,37053.00,0
2013-10-10,10509.0000,10612.0000,10332.0000,10588.0000,48107.00,0
2013-10-11,10650.0000,10690.0000,10581.0000,10649.0000,49210.00,0
2013-10-15,10722.0000,10735.0000,10626.0000,10691.0000,36001.00,0
2013-10-16,10720.0000,10731.0000,10558.0000,10682.0000,43554.00,0
2013-10-17,10720.0000,10720.0000,10510.0000,10590.0000,46155.00,0
2013-10-18,10647.0000,10720.0000,10592.0000,10686.0000,47632.00,0
2013-10-21,10709.0000,10750.0000,10624.0000,10678.0000,42412.00,0
2013-10-22,10632.0000,10802.0000,10580.0000,10749.0000,60680.00,0
2013-10-23,10733.0000,10775.0000,10382.0000,10395.0000,102267.00,0
2013-10-24,10418.0000,10440.0000,10247.0000,10253.0000,88223.00,0
2013-10-25,10206.0000,10285.0000,10133.0000,10184.0000,113355.00,0
2013-10-28,10233.0000,10292.0000,10195.0000,10223.0000,131473.00,0
2013-10-29,10222.0000,10427.0000,10206.0000,10419.0000,141227.00,0
