'HHIY0'	H股指数连续	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
2012/10/15	10365.0000	10438.0000	10344.0000	10383.0000	41546.00	0	126720						
2012/10/16	10430.0000	10462.0000	10326.0000	10382.0000	41366.00	0	129010						
2012/10/17	10480.0000	10541.0000	10435.0000	10501.0000	53550.00	0	0						
2012/10/18	10562.0000	10702.0000	10520.0000	10693.0000	64315.00	0	0						
2012/10/19	10670.0000	10744.0000	10659.0000	10701.0000	45168.00	0	139167	10532					
2012/10/24	10624.0000	10726.0000	10607.0000	10616.0000	67996.00	0	128769	10578.6					
2012/10/25	10618.0000	10706.0000	10555.0000	10631.0000	100836.00	0	0	10628.4					
2012/10/26	10653.0000	10653.0000	10392.0000	10433.0000	130151.00	0	65052	10614.8					
2012/10/29	10438.0000	10596.0000	10434.0000	10540.0000	95564.00	0	41170	10584.2					
2012/10/30	10522.0000	10607.0000	10478.0000	10488.0000	10853.00	0	30922	10541.6	10536.8				
2012/10/31	10522.0000	10613.0000	10495.0000	10607.0000	33510.00	0	130046	10539.8	10559.2				
2012/11/01	10552.0000	10757.0000	10490.0000	10750.0000	49727.00	0	133261	10563.6	10596				
2012/11/02	10836.0000	10929.0000	10826.0000	10844.0000	47361.00	0	136577	10645.8	10630.3				
2012/11/05	10811.0000	10891.0000	10763.0000	10788.0000	32624.00	0	135656	10695.4	10639.8				
2012/11/06	10807.0000	10829.0000	10642.0000	10738.0000	39325.00	0	0	10745.4	10643.5				
2012/11/07	10783.0000	10838.0000	10638.0000	10816.0000	50109.00	0	137742	10787.2	10663.5				
2012/11/08	10650.0000	10720.0000	10507.0000	10516.0000	52114.00	0	135429	10740.4	10652				
2012/11/09	10422.0000	10518.0000	10410.0000	10433.0000	47788.00	0	132597	10658.2	10652				
2012/11/12	10464.0000	10530.0000	10426.0000	10434.0000	30549.00	0	132759	10587.4	10641.4				
2012/11/13	10440.0000	10440.0000	10225.0000	10247.0000	48648.00	0	132127	10489.2	10617.3	10577.05			
2012/11/14	10270.0000	10403.0000	10240.0000	10389.0000	39046.00	0	132520	10403.8	10595.5	10577.35			
2012/11/15	10286.0000	10330.0000	10201.0000	10240.0000	45105.00	0	134581	10348.6	10544.5	10570.25			
2012/11/16	10268.0000	10294.0000	10205.0000	10248.0000	38344.00	0	136397	10311.6	10484.9	10557.6			
2012/11/19	10289.0000	10340.0000	10202.0000	10279.0000	40248.00	0	137766	10280.6	10434	10536.9			
2012/11/20	10387.0000	10419.0000	10221.0000	10242.0000	41469.00	0	0	10279.6	10384.4	10513.95			
2012/11/21	10290.0000	10412.0000	10217.0000	10381.0000	51788.00	0	0	10278	10340.9	10502.2			
2012/11/22	10433.0000	10539.0000	10376.0000	10488.0000	50297.00	0	143908	10327.6	10338.1	10495.05			
2012/11/23	10501.0000	10625.0000	10491.0000	10584.0000	55215.00	0	148386	10394.8	10353.2	10502.6			
2012/11/26	10669.0000	10679.0000	10529.0000	10556.0000	83552.00	0	0	10450.2	10365.4	10503.4			
