'HSIY0'	恒生指数连续	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
2012/09/13	20057.0000	20179.0000	20040.0000	20041.0000	54163.00	0	93056						
2012/09/14	20500.0000	20679.0000	20481.0000	20646.0000	79585.00	0	94895						
2012/09/17	20685.0000	20750.0000	20632.0000	20714.0000	65988.00	0	101184						
2012/09/18	20684.0000	20750.0000	20605.0000	20633.0000	68950.00	0	109304						
2012/09/19	20652.0000	20936.0000	20652.0000	20884.0000	77569.00	0	0	20583.6					
2012/09/20	20830.0000	20874.0000	20589.0000	20635.0000	68330.00	0	110439	20702.4					
2012/09/21	20740.0000	20851.0000	20700.0000	20715.0000	64282.00	0	110439	20716.199					
2012/09/24	20614.0000	20814.0000	20508.0000	20738.0000	88925.00	0	0	20721					
2012/09/25	20766.0000	20803.0000	20682.0000	20742.0000	105893.00	0	105943	20742.801					
2012/09/26	20520.0000	20594.0000	20503.0000	20540.0000	84087.00	0	41010	20674	20628.801				
2012/09/27	20431.0000	20725.0000	20426.0000	20688.0000	16339.00	0	24843	20684.6	20693.5				
2012/09/28	20786.0000	20887.0000	20681.0000	20875.0000	64060.00	0	0	20716.6	20716.4				
2012/10/08	20976.0000	20994.0000	20767.0000	20782.0000	50966.00	0	109866	20725.4	20723.199				
2012/10/09	20897.0000	21096.0000	20876.0000	20940.0000	67659.00	0	113779	20765	20753.9				
2012/10/10	20759.0000	20924.0000	20705.0000	20912.0000	55230.00	0	111489	20839.4	20756.699				
2012/10/11	20730.0000	20995.0000	20725.0000	20958.0000	67133.00	0	111447	20893.4	20789				
2012/10/12	20947.0000	21224.0000	20933.0000	21096.0000	68914.00	0	112221	20937.6	20827.1				
2012/10/15	21096.0000	21160.0000	21039.0000	21107.0000	47551.00	0	0	21002.6	20864				
2012/10/16	21184.0000	21291.0000	21091.0000	21197.0000	52421.00	0	111769	21054	20909.5				
2012/10/17	21392.0000	21431.0000	21332.0000	21393.0000	52094.00	0	113619	21150.199	20994.801	20811.801			
2012/10/18	21493.0000	21593.0000	21456.0000	21545.0000	55390.00	0	114769	21267.6	21080.5	20887			
2012/10/19	21510.0000	21565.0000	21490.0000	21558.0000	41300.00	0	116986	21360	21148.801	20932.6			
2012/10/24	21545.0000	21831.0000	21520.0000	21760.0000	98194.00	0	112194	21490.6	21246.6	20984.9			
2012/10/25	21763.0000	21854.0000	21741.0000	21846.0000	87997.00	0	93819	21620.4	21337.199	21045.551			
2012/10/26	21805.0000	21846.0000	21516.0000	21530.0000	122690.00	0	0	21647.801	21399	21077.85			
2012/10/29	21509.0000	21585.0000	21425.0000	21525.0000	87951.00	0	35810	21643.801	21455.699	21122.35			
2012/10/30	21530.0000	21628.0000	21418.0000	21440.0000	11462.00	0	23520	21620.199	21490.1	21158.6			
2012/10/31	21549.0000	21685.0000	21501.0000	21674.0000	48452.00	0	124628	21603	21546.801	21205.4			
2012/11/01	21589.0000	21872.0000	21476.0000	21858.0000	77208.00	0	128588	21605.4	21612.9	21261.199			
2012/11/02	22035.0000	22166.0000	22009.0000	22110.0000	61507.00	0	126955	21721.4	21684.6	21339.699	21102.732		
2012/11/05	22077.0000	22170.0000	22012.0000	22050.0000	50083.00	0	124893	21826.4	21735.1	21407.801	21169.699		
2012/11/06	21994.0000	22042.0000	21858.0000	21955.0000	63317.00	0	125558	21929.4	21774.801	21461.801	21213.334		
2012/11/07	22001.0000	22148.0000	21816.0000	22125.0000	80827.00	0	125887	22019.6	21811.301	21528.949	21260.367		
2012/11/08	21790.0000	21871.0000	21525.0000	21550.0000	85055.00	0	122965	21958	21781.699	21559.449	21290.934		
2012/11/09	21470.0000	21499.0000	21295.0000	21314.0000	84208.00	0	125116	21798.801	21760.1	21579.551	21305.268		
2012/11/12	21330.0000	21460.0000	21316.0000	21404.0000	54862.00	0	0	21669.6	21748	21601.85	21330.9		
2012/11/13	21352.0000	21385.0000	21142.0000	21176.0000	64999.00	0	117880	21513.801	21721.6	21605.85	21346.268		
2012/11/14	21254.0000	21443.0000	21205.0000	21419.0000	61323.00	0	116681	21372.6	21696.1	21621.449	21368.967		
2012/11/15	21189.0000	21299.0000	21090.0000	21168.0000	70298.00	0	115130	21296.199	21627.1	21620	21383.166		
2012/11/16	21195.0000	21220.0000	21076.0000	21124.0000	50835.00	0	113553	21258.199	21528.5	21606.551	21402.633		
2012/11/19	21200.0000	21322.0000	21127.0000	21240.0000	65698.00	0	113510	21225.4	21447.5	21591.301	21421.033		
2012/11/20	21468.0000	21490.0000	21210.0000	21269.0000	62787.00	0	115970	21244	21378.9	21576.85	21434.166		
2012/11/21	21361.0000	21564.0000	21214.0000	21530.0000	91913.00	0	116528	21266.199	21319.4	21565.35	21459.1		
2012/11/22	21634.0000	21806.0000	21539.0000	21741.0000	83504.00	0	119490	21380.801	21338.5	21560.1	21485.801		
2012/11/23	21794.0000	21964.0000	21747.0000	21934.0000	74615.00	0	115821	21542.801	21400.5	21580.301	21519.867		
2012/11/26	22014.0000	22058.0000	21838.0000	21883.0000	89587.00	0	0	21671.4	21448.4	21598.199	21550.699		
2012/11/27	21999.0000	22037.0000	21810.0000	21822.0000	131415.00	0	0	21782	21513	21617.301	21574.9		
2012/11/28	21740.0000	21758.0000	21613.0000	21711.0000	85063.00	0	29145	21818.199	21542.199	21619.15	21595.033		
2012/11/29	21888.0000	21940.0000	21793.0000	21892.0000	11465.00	0	16505	21848.4	21614.6	21620.85	21618.199		
2012/11/30	21980.0000	22140.0000	21932.0000	22023.0000	63202.00	0	129516	21866.199	21704.5	21616.5	21639.199		
2012/12/03	22078.0000	22210.0000	21705.0000	21723.0000	76164.00	0	130192	21834.199	21752.801	21600.15	21645.133		
2012/12/04	21668.0000	21852.0000	21660.0000	21742.0000	67428.00	0	126807	21818.199	21800.1	21589.5	21651.268		
2012/12/05	21848.0000	22345.0000	21792.0000	22340.0000	92088.00	0	131154	21944	21881.1	21600.25	21670.6		
2012/12/06	22294.0000	22380.0000	22220.0000	22240.0000	60944.00	0	128693	22013.6	21931	21634.75	21683.732		
2012/12/07	22333.0000	22416.0000	22230.0000	22272.0000	65009.00	0	128040	22063.4	21964.801	21682.65	21708.467		
2012/12/10	22385.0000	22420.0000	22228.0000	22257.0000	56520.00	0	129266	22170.199	22002.199	21725.301	21732.867		
