date,open,high,low,close,volume,turnover
2012-09-13,20057.0000,20179.0000,20040.0000,20041.0000,54163.00,0
2012-09-14,20500.0000,20679.0000,20481.0000,20646.0000,79585.00,0
2012-09-17,20685.0000,20750.0000,20632.0000,20714.0000,65988.00,0
2012-09-18,20684.0000,20750.0000,20605.0000,20633.0000,68950.00,0
2012-09-19,20652.0000,20936.0000,20652.0000,20884.0000,77569.00,0
2012-09-20,20830.0000,20874.0000,20589.0000,20635.0000,68330.00,0
2012-09-21,20740.0000,20851.0000,20700.0000,20715.0000,64282.00,0
2012-09-24,20614.0000,20814.0000,20508.0000,20738.0000,88925.00,0
2012-09-25,20766.0000,20803.0000,20682.0000,20742.0000,105893.00,0
2012-09-26,20520.0000,20594.0000,20503.0000,20540.0000,84087.00,0
2012-09-27,20431.0000,20725.0000,20426.0000,20688.0000,16339.00,0
2012-09-28,20786.0000,20887.0000,20681.0000,20875.0000,64060.00,0
2012-10-08,20976.0000,20994.0000,20767.0000,20782.0000,50966.00,0
2012-10-09,20897.0000,21096.0000,20876.0000,20940.0000,67659.00,0
2012-10-10,20759.0000,20924.0000,20705.0000,20912.0000,55230.00,0
2012-10-11,20730.0000,20995.0000,20725.0000,20958.0000,67133.00,0
2012-10-12,20947.0000,21224.0000,20933.0000,21096.0000,68914.00,0
2012-10-15,21096.0000,21160.0000,21039.0000,21107.0000,47551.00,0
2012-10-16,21184.0000,21291.0000,21091.0000,21197.0000,52421.00,0
2012-10-17,21392.0000,21431.0000,21332.0000,21393.0000,52094.00,0
2012-10-18,21493.0000,21593.0000,21456.0000,21545.0000,55390.00,0
2012-10-19,21510.0000,21565.0000,21490.0000,21558.0000,41300.00,0
2012-10-24,21545.0000,21831.0000,21520.0000,21760.0000,98194.00,0
2012-10-25,21763.0000,21854.0000,21741.0000,21846.0000,87997.00,0
2012-10-26,21805.0000,21846.0000,21516.0000,21530.0000,122690.00,0
2012-10-29,21509.0000,21585.0000,21425.0000,21525.0000,87951.00,0
2012-10-30,21530.0000,21628.0000,21418.0000,21440.0000,11462.00,0
2012-10-31,21549.0000,21685.0000,21501.0000,21674.0000,48452.00,0
2012-11-01,21589.0000,21872.0000,21476.0000,21858.0000,77208.00,0
2012-11-02,22035.0000,22166.0000,22009.0000,22110.0000,61507.00,0
2012-11-05,22077.0000,22170.0000,22012.0000,22050.0000,50083.00,0
2012-11-06,21994.0000,22042.0000,21858.0000,21955.0000,63317.00,0
2012-11-07,22001.0000,22148.0000,21816.0000,22125.0000,80827.00,0
2012-11-08,21790.0000,21871.0000,21525.0000,21550.0000,85055.00,0
2012-11-09,21470.0000,21499.0000,21295.0000,21314.0000,84208.00,0
2012-11-12,21330.0000,21460.0000,21316.0000,21404.0000,54862.00,0
2012-11-13,21352.0000,21385.0000,21142.0000,21176.0000,64999.00,0
2012-11-14,21254.0000,21443.0000,21205.0000,21419.0000,61323.00,0
2012-11-15,21189.0000,21299.0000,21090.0000,21168.0000,70298.00,0
2012-11-16,21195.0000,21220.0000,21076.0000,21124.0000,50835.00,0
2012-11-19,21200.0000,21322.0000,21127.0000,21240.0000,65698.00,0
