date,open,high,low,close,volume,turnover
2013-10-24,938.0000,939.0000,916.0000,926.0000,169028.00,15687645184
2013-10-25,928.0000,936.0000,917.0000,918.0000,104060.00,9647273984
2013-10-28,920.0000,928.0000,917.0000,923.0000,83790.00,7727837184
2013-10-29,924.0000,925.0000,913.0000,921.0000,105876.00,9710710784
2013-10-30,919.0000,930.0000,916.0000,924.0000,118272.00,10913153024
2013-10-31,925.0000,927.0000,920.0000,922.0000,74672.00,6893437440
2013-11-01,921.0000,954.0000,921.0000,942.0000,321242.00,30276583424
2013-11-04,943.0000,957.0000,942.0000,950.0000,175080.00,16619307008
2013-11-05,948.0000,954.0000,943.0000,946.0000,108384.00,10267662336
2013-11-06,949.0000,951.0000,942.0000,944.0000,69362.00,6560806400
2013-11-07,945.0000,947.0000,939.0000,945.0000,91676.00,8655908864
2013-11-08,947.0000,948.0000,936.0000,939.0000,66340.00,6237069824
2013-11-11,940.0000,944.0000,934.0000,942.0000,57564.00,5404929024
2013-11-12,940.0000,944.0000,936.0000,943.0000,45594.00,4285756672
2013-11-13,941.0000,952.0000,940.0000,943.0000,96484.00,9135948800
2013-11-14,940.0000,944.0000,937.0000,937.0000,55752.00,5244187648
2013-11-15,939.0000,942.0000,930.0000,931.0000,76014.00,7110065664
2013-11-18,931.0000,935.0000,925.0000,932.0000,52704.00,4906656768
2013-11-19,931.0000,943.0000,930.0000,942.0000,60164.00,5636563456
2013-11-20,943.0000,946.0000,940.0000,942.0000,43452.00,4095802624
2013-11-21,942.0000,943.0000,932.0000,932.0000,41322.00,3865791488
2013-11-22,934.0000,935.0000,929.0000,931.0000,52592.00,4901580800
2013-11-25,933.0000,936.0000,928.0000,933.0000,38196.00,3561585408
2013-11-26,934.0000,943.0000,934.0000,941.0000,72650.00,6822023168
2013-11-27,940.0000,942.0000,933.0000,936.0000,30614.00,2867343104
2013-11-28,933.0000,940.0000,933.0000,939.0000,27220.00,2551700992
2013-11-29,939.0000,945.0000,939.0000,939.0000,33364.00,3140319488
2013-12-02,940.0000,941.0000,934.0000,936.0000,41520.00,3890296064
2013-12-03,938.0000,941.0000,936.0000,939.0000,35426.00,3325756160
2013-12-04,942.0000,955.0000,941.0000,952.0000,94420.00,8967671808
2013-12-05,953.0000,956.0000,944.0000,945.0000,52990.00,5028297728
2013-12-06,944.0000,945.0000,938.0000,941.0000,40044.00,3768129024
2013-12-09,941.0000,946.0000,940.0000,945.0000,19390.00,1828656256
2013-12-10,946.0000,947.0000,942.0000,942.0000,16900.00,1595138560
2013-12-11,942.0000,942.0000,934.0000,937.0000,38984.00,3651507712
2013-12-12,936.0000,938.0000,930.0000,930.0000,35494.00,3315890688
2013-12-13,927.0000,927.0000,905.0000,914.0000,91394.00,8341889536
2013-12-16,913.0000,923.0000,912.0000,918.0000,39670.00,3643754752
2013-12-17,918.0000,920.0000,908.0000,910.0000,24582.00,2252327424
2013-12-18,908.0000,913.0000,902.0000,906.0000,71224.00,6461463552
2013-12-19,909.0000,913.0000,907.0000,908.0000,30298.00,2754570240
2013-12-20,909.0000,913.0000,901.0000,905.0000,34754.00,3158580992
2013-12-23,904.0000,905.0000,885.0000,893.0000,128512.00,11463855104
2013-12-24,892.0000,907.0000,892.0000,900.0000,95624.00,8621229056
2013-12-25,903.0000,904.0000,898.0000,903.0000,48792.00,4397989888
2013-12-26,903.0000,904.0000,885.0000,896.0000,84590.00,7544750080
2013-12-27,898.0000,910.0000,896.0000,907.0000,87282.00,7887528960
2013-12-30,908.0000,920.0000,908.0000,911.0000,85206.00,7783848448
2013-12-31,908.0000,914.0000,899.0000,911.0000,72580.00,6603514880
2014-01-02,912.0000,912.0000,899.0000,907.0000,56510.00,5121997824
2014-01-03,904.0000,905.0000,887.0000,902.0000,132754.00,11912183808
2014-01-06,900.0000,900.0000,888.0000,893.0000,108602.00,9695799296
