'i0001'	铁矿石连续	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
2013/10/24	938.0000	939.0000	916.0000	926.0000	169028.00	15687645184	87872						
2013/10/25	928.0000	936.0000	917.0000	918.0000	104060.00	9647273984	86472						
2013/10/28	920.0000	928.0000	917.0000	923.0000	83790.00	7727837184	93480						
2013/10/29	924.0000	925.0000	913.0000	921.0000	105876.00	9710710784	99058						
2013/10/30	919.0000	930.0000	916.0000	924.0000	118272.00	10913153024	91262	922.4					
2013/10/31	925.0000	927.0000	920.0000	922.0000	74672.00	6893437440	84820	921.6					
2013/11/01	921.0000	954.0000	921.0000	942.0000	321242.00	30276583424	107582	926.4					
2013/11/04	943.0000	957.0000	942.0000	950.0000	175080.00	16619307008	122298	931.8					
2013/11/05	948.0000	954.0000	943.0000	946.0000	108384.00	10267662336	121942	936.8					
2013/11/06	949.0000	951.0000	942.0000	944.0000	69362.00	6560806400	123650	940.8	931.6				
2013/11/07	945.0000	947.0000	939.0000	945.0000	91676.00	8655908864	124958	945.4	933.5				
2013/11/08	947.0000	948.0000	936.0000	939.0000	66340.00	6237069824	120532	944.8	935.6				
2013/11/11	940.0000	944.0000	934.0000	942.0000	57564.00	5404929024	112342	943.2	937.5				
2013/11/12	940.0000	944.0000	936.0000	943.0000	45594.00	4285756672	107938	942.6	939.7				
2013/11/13	941.0000	952.0000	940.0000	943.0000	96484.00	9135948800	110812	942.4	941.6				
2013/11/14	940.0000	944.0000	937.0000	937.0000	55752.00	5244187648	103446	940.8	943.1				
2013/11/15	939.0000	942.0000	930.0000	931.0000	76014.00	7110065664	102752	939.2	942				
2013/11/18	931.0000	935.0000	925.0000	932.0000	52704.00	4906656768	99378	937.2	940.2				
2013/11/19	931.0000	943.0000	930.0000	942.0000	60164.00	5636563456	106904	937	939.8				
2013/11/20	943.0000	946.0000	940.0000	942.0000	43452.00	4095802624	104228	936.8	939.6	935.6			
2013/11/21	942.0000	943.0000	932.0000	932.0000	41322.00	3865791488	105090	935.8	938.3	935.9			
2013/11/22	934.0000	935.0000	929.0000	931.0000	52592.00	4901580800	106092	935.8	937.5	936.55			
2013/11/25	933.0000	936.0000	928.0000	933.0000	38196.00	3561585408	104188	936	936.6	937.05			
2013/11/26	934.0000	943.0000	934.0000	941.0000	72650.00	6822023168	108162	935.8	936.4	938.05			
2013/11/27	940.0000	942.0000	933.0000	936.0000	30614.00	2867343104	106536	934.6	935.7	938.65			
2013/11/28	933.0000	940.0000	933.0000	939.0000	27220.00	2551700992	105728	936	935.9	939.5			
2013/11/29	939.0000	945.0000	939.0000	939.0000	33364.00	3140319488	106418	937.6	936.7	939.35			
2013/12/02	940.0000	941.0000	934.0000	936.0000	41520.00	3890296064	108744	938.2	937.1	938.65			
2013/12/03	938.0000	941.0000	936.0000	939.0000	35426.00	3325756160	105336	937.8	936.8	938.3			
2013/12/04	942.0000	955.0000	941.0000	952.0000	94420.00	8967671808	114382	941	937.8	938.7	936.333		
2013/12/05	953.0000	956.0000	944.0000	945.0000	52990.00	5028297728	114538	942.2	939.1	938.7	936.967		
2013/12/06	944.0000	945.0000	938.0000	941.0000	40044.00	3768129024	108430	942.6	940.1	938.8	937.733		
2013/12/09	941.0000	946.0000	940.0000	945.0000	19390.00	1828656256	112378	944.4	941.3	938.95	938.467		
2013/12/10	946.0000	947.0000	942.0000	942.0000	16900.00	1595138560	109726	945	941.4	938.9	939.167		
2013/12/11	942.0000	942.0000	934.0000	937.0000	38984.00	3651507712	108132	942	941.5	938.6	939.6		
2013/12/12	936.0000	938.0000	930.0000	930.0000	35494.00	3315890688	108944	939	940.6	938.25	939.867		
2013/12/13	927.0000	927.0000	905.0000	914.0000	91394.00	8341889536	116740	933.6	938.1	937.4	938.933		
2013/12/16	913.0000	923.0000	912.0000	918.0000	39670.00	3643754752	121312	928.2	936.3	936.7	937.867		
2013/12/17	918.0000	920.0000	908.0000	910.0000	24582.00	2252327424	124712	921.8	933.4	935.1	936.667		
2013/12/18	908.0000	913.0000	902.0000	906.0000	71224.00	6461463552	128188	915.6	928.8	933.3	935.4		
2013/12/19	909.0000	913.0000	907.0000	908.0000	30298.00	2754570240	128266	911.2	925.1	932.1	934.167		
2013/12/20	909.0000	913.0000	901.0000	905.0000	34754.00	3158580992	127190	909.4	921.5	930.8	933.033		
2013/12/23	904.0000	905.0000	885.0000	893.0000	128512.00	11463855104	135724	904.4	916.3	928.8	931.4		
2013/12/24	892.0000	907.0000	892.0000	900.0000	95624.00	8621229056	121156	902.4	912.1	926.75	929.967		
2013/12/25	903.0000	904.0000	898.0000	903.0000	48792.00	4397989888	114208	901.8	908.7	925.1	928.633		
2013/12/26	903.0000	904.0000	885.0000	896.0000	84590.00	7544750080	124116	899.4	905.3	922.95	927.267		
2013/12/27	898.0000	910.0000	896.0000	907.0000	87282.00	7887528960	107922	899.8	904.6	921.35	926.467		
2013/12/30	908.0000	920.0000	908.0000	911.0000	85206.00	7783848448	104050	903.4	903.9	920.1	925.767		
2013/12/31	908.0000	914.0000	899.0000	911.0000	72580.00	6603514880	98646	905.6	904	918.7	924.733		
2014/01/02	912.0000	912.0000	899.0000	907.0000	56510.00	5121997824	107880	906.4	904.1	916.45	923.567		
2014/01/03	904.0000	905.0000	887.0000	902.0000	132754.00	11912183808	122358	907.6	903.5	914.3	922.567		
2014/01/06	900.0000	900.0000	888.0000	893.0000	108602.00	9695799296	142642	904.8	902.3	911.9	921.3		
2014/01/07	892.0000	899.0000	887.0000	896.0000	86452.00	7728672768	149034	901.8	902.6	909.45	920.067		
2014/01/08	895.0000	897.0000	884.0000	892.0000	101252.00	9019654144	157264	898	901.8	906.95	918.433		
2014/01/09	891.0000	899.0000	884.0000	888.0000	102048.00	9087635456	161606	894.2	900.3	904.5	916.833		
2014/01/10	885.0000	886.0000	870.0000	881.0000	180252.00	15817254912	163378	890	898.8	902.05	914.9		
2014/01/13	879.0000	880.0000	868.0000	871.0000	108274.00	9442178048	178106	885.6	895.2	899.9	912.633		
2014/01/14	875.0000	881.0000	866.0000	880.0000	94136.00	8229433856	178102	882.4	892.1	898	910.767		
2014/01/15	880.0000	882.0000	875.0000	879.0000	68854.00	6044733440	184704	879.8	888.9	896.45	908.767		
2014/01/16	880.0000	885.0000	875.0000	879.0000	66036.00	5810915840	186510	878	886.1	895.1	906.333	921.333	
2014/01/17	876.0000	878.0000	870.0000	876.0000	84072.00	7348447232	184412	877	883.5	893.5	904.033	920.5	
2014/01/20	872.0000	876.0000	859.0000	861.0000	95418.00	8281278464	195022	875	880.3	891.3	901.367	919.55	
2014/01/21	860.0000	861.0000	843.0000	847.0000	124490.00	10575313920	208510	868.4	875.4	889	898.1	918.283	
2014/01/22	850.0000	858.0000	845.0000	852.0000	76044.00	6472155136	208986	863	871.4	886.6	895.1	917.133	
2014/01/23	857.0000	885.0000	855.0000	878.0000	217640.00	18925678592	194104	862.8	870.4	885.35	893.133	916.367	
2014/01/24	877.0000	880.0000	871.0000	877.0000	103512.00	9066145792	176300	863	870	884.4	891.367	915.617	
2014/01/27	871.0000	874.0000	861.0000	864.0000	79904.00	6918325248	184670	863.6	869.3	882.25	889.7	914.317	
2014/01/28	863.0000	867.0000	857.0000	857.0000	63410.00	5463389696	184348	865.6	867	879.55	887.667	912.767	
2014/01/29	857.0000	868.0000	856.0000	866.0000	52374.00	4523828736	183982	868.4	865.7	877.3	886.2	911.433	
2014/01/30	864.0000	871.0000	860.0000	868.0000	37122.00	3216466688	181866	866.4	864.6	875.35	884.933	910.167	
2014/02/07	865.0000	868.0000	853.0000	856.0000	85620.00	7361636352	168784	862.2	862.6	873.05	883.2	908.683	
2014/02/10	856.0000	859.0000	846.0000	854.0000	97430.00	8310876160	174428	860.2	861.9	871.1	881.5	907.267	
2014/02/11	852.0000	857.0000	845.0000	848.0000	71852.00	6116427776	179890	858.4	862	868.7	880	905.7	
2014/02/12	849.0000	855.0000	844.0000	853.0000	71244.00	6052422656	178688	855.8	862.1	866.75	878.433	904.2	
2014/02/13	853.0000	858.0000	850.0000	854.0000	63372.00	5411495936	175878	853	859.7	865.05	876.8	902.717	
2014/02/14	854.0000	865.0000	854.0000	861.0000	79268.00	6823064576	177852	854	858.1	864.05	875.633	901.45	
2014/02/17	862.0000	874.0000	862.0000	873.0000	139234.00	12087729152	160886	857.8	859	864.15	874.5	900.483	
2014/02/18	876.0000	878.0000	860.0000	860.0000	88882.00	7719325184	156626	860.2	859.3	863.15	872.8	899.283	
2014/02/19	863.0000	867.0000	860.0000	864.0000	53826.00	4645212672	158376	862.4	859.1	862.4	871.233	897.983	
2014/02/20	862.0000	864.0000	852.0000	852.0000	62660.00	5369303552	157148	862	857.5	861.05	869.4	896.483	
2014/02/21	852.0000	854.0000	846.0000	851.0000	59210.00	5032919040	156434	860	857	859.8	867.7	895.133	
2014/02/24	846.0000	846.0000	817.0000	821.0000	174568.00	14467635200	169866	849.6	853.7	857.8	865.3	893.3	
2014/02/25	823.0000	827.0000	812.0000	817.0000	106396.00	8718636032	174898	841	850.6	856.3	862.667	891.367	
2014/02/26	816.0000	821.0000	811.0000	820.0000	128024.00	10454250496	178426	832.2	847.3	854.7	860.267	889.35	
2014/02/27	817.0000	826.0000	816.0000	824.0000	87644.00	7200338944	172268	826.6	844.3	852	858.133	887.483	
2014/02/28	825.0000	828.0000	811.0000	817.0000	117188.00	9612122112	165448	819.8	839.9	849	856	885.45	
2014/03/03	816.0000	819.0000	804.0000	811.0000	100042.00	8093448192	167268	817.8	833.7	846.35	854	883.317	
2014/03/04	810.0000	813.0000	804.0000	812.0000	91834.00	7426663936	157296	816.8	828.9	844.1	851.733	881.25	
2014/03/05	803.0000	807.0000	788.0000	802.0000	216938.00	17324953600	235588	813.2	822.7	840.9	849.167	878.967	
2014/03/06	803.0000	804.0000	785.0000	787.0000	181182.00	14416017408	266448	805.8	816.2	836.85	846.1	876.217	
2014/03/07	788.0000	788.0000	764.0000	764.0000	169172.00	13102661632	301544	795.2	807.5	832.25	842.367	873.2	
2014/03/10	741.0000	741.0000	728.0000	728.0000	183578.00	13480626176	296812	778.6	798.2	825.95	837.933	869.65	
2014/03/11	720.0000	752.0000	707.0000	740.0000	531682.00	38904213504	305028	764.2	790.5	820.55	834.367	866.233	
2014/03/12	713.0000	742.0000	705.0000	737.0000	828368.00	60204781568	401538	751.2	782.2	814.75	830.533	862.817	
2014/03/13	741.0000	752.0000	728.0000	749.0000	692768.00	51102490624	498186	743.6	774.7	809.5	826.233	859.683	
2014/03/14	749.0000	750.0000	721.0000	740.0000	829438.00	61024264192	527610	738.8	767	803.45	821.667	856.517	
2014/03/17	744.0000	748.0000	728.0000	729.0000	672320.00	49363685376	516402	739	758.8	796.25	817.167	853.433	
2014/03/18	729.0000	738.0000	722.0000	732.0000	822796.00	60118913024	557604	737.4	750.8	789.85	813	850.333	
2014/03/19	736.0000	738.0000	729.0000	732.0000	458340.00	33631864832	558712	736.4	743.8	783.25	808.533	847.367	
2014/03/20	742.0000	762.0000	733.0000	733.0000	1041720.00	77535674368	546564	733.2	738.4	777.3	804.033	844.483	
2014/03/21	736.0000	743.0000	729.0000	733.0000	899396.00	66115170304	545010	731.8	735.3	771.4	799.933	841.567	
2014/03/24	730.0000	745.0000	714.0000	744.0000	1326832.00	96874741760	592542	734.8	736.9	767.55	796.267	838.883	
2014/03/25	744.0000	759.0000	738.0000	759.0000	1016092.00	76317392896	551710	740.2	738.8	764.65	793.3	836.65	
2014/03/26	763.0000	764.0000	749.0000	758.0000	645576.00	48782860288	498300	745.4	740.9	761.55	790.133	834.283	
2014/03/27	754.0000	770.0000	752.0000	757.0000	759536.00	57819537408	494038	750.2	741.7	758.2	786.9	831.85	
2014/03/28	758.0000	784.0000	757.0000	781.0000	774912.00	59637817344	481464	759.8	745.8	756.4	784.233	829.933	
2014/03/31	781.0000	799.0000	778.0000	794.0000	1017030.00	80317472768	476690	769.8	752.3	755.55	781.6	828.05	
2014/04/01	796.0000	802.0000	787.0000	800.0000	763714.00	60686983168	503040	778	759.1	754.95	779.6	826.2	
2014/04/02	801.0000	803.0000	777.0000	784.0000	930550.00	73248022528	524730	783.2	764.3	754.05	776.933	824.083	
2014/04/03	783.0000	800.0000	778.0000	799.0000	1216750.00	96235094016	538798	791.6	770.9	754.65	775.167	822.283	
2014/04/04	802.0000	810.0000	795.0000	808.0000	668208.00	53516722176	509074	797	778.4	756.85	773.733	820.717	
2014/04/08	809.0000	833.0000	808.0000	825.0000	811738.00	66696900608	531050	803.2	786.5	761.7	773.867	819.583	
2014/04/09	826.0000	831.0000	816.0000	819.0000	716666.00	59059712000	543934	807	792.5	765.65	773.933	818.3	
2014/04/10	822.0000	828.0000	812.0000	816.0000	676064.00	55446470656	552898	813.4	798.3	769.6	773.8	817.033	
2014/04/11	816.0000	817.0000	809.0000	814.0000	472292.00	38381690880	541278	816.4	804	772.85	773.467	815.8	
2014/04/14	812.0000	819.0000	795.0000	803.0000	811304.00	65323040768	551342	815.4	806.2	776	773	814.5	
2014/04/15	803.0000	812.0000	796.0000	812.0000	635542.00	51070660608	536824	812.8	808	780.15	773.033	813.517	
2014/04/16	812.0000	812.0000	792.0000	797.0000	673240.00	53842743296	511688	808.4	807.7	783.4	772.533	812.133	
2014/04/17	799.0000	802.0000	794.0000	795.0000	398184.00	31765913600	473962	804.2	808.8	786.55	772.3	810.733	
2014/04/18	794.0000	795.0000	774.0000	781.0000	1091198.00	85358485504	460442	797.6	807	788.95	772.1	809.1	865.217
2014/04/21	782.0000	788.0000	776.0000	781.0000	471016.00	36849201152	472568	793.2	804.3	791.35	772.667	807.517	864.008
2014/04/22	778.0000	782.0000	768.0000	779.0000	593456.00	46017437696	473366	786.6	799.7	793.1	774.367	806.15	862.85
2014/04/23	780.0000	787.0000	768.0000	786.0000	493962.00	38440554496	464386	784.4	796.4	794.45	775.9	805.133	861.708
2014/04/24	788.0000	802.0000	783.0000	794.0000	651388.00	51517063168	495502	784.2	794.2	796.25	777.8	804.167	860.65
2014/04/25	797.0000	801.0000	792.0000	795.0000	399750.00	31835424768	471276	787	792.3	798.15	779.333	802.783	859.575
2014/04/28	787.0000	788.0000	757.0000	760.0000	947734.00	72797863936	493046	782.8	788	797.1	780	800.833	858.225
2014/04/29	759.0000	774.0000	759.0000	771.0000	624706.00	48047697920	509530	781.2	783.9	795.95	781.4	799.283	856.8
2014/04/30	768.0000	771.0000	755.0000	765.0000	628926.00	48004112384	496962	777	780.7	794.2	782.5	797.75	855.258
2014/05/05	759.0000	772.0000	755.0000	771.0000	434248.00	33197598720	521854	772.4	778.3	793.55	783.8	796.167	853.8
2014/05/06	771.0000	775.0000	765.0000	768.0000	410668.00	31596707840	518038	767	777	792	784.967	794.5	852.333
2014/05/07	767.0000	769.0000	748.0000	749.0000	728944.00	55339868160	513436	764.8	773.8	789.05	785.5	792.717	850.7
2014/05/08	748.0000	751.0000	735.0000	735.0000	729292.00	54193295360	520264	757.6	769.4	784.55	785.2	790.733	849
2014/05/09	739.0000	741.0000	732.0000	735.0000	444996.00	32786878464	526686	751.6	764.3	780.35	784.4	788.85	847.275
2014/05/12	734.0000	742.0000	726.0000	741.0000	850618.00	62439866368	570246	745.6	759	776.6	783.833	786.983	845.592
2014/05/13	741.0000	749.0000	737.0000	740.0000	597730.00	44418203648	555140	740	753.5	772.9	783.267	785.083	843.9
2014/05/14	739.0000	744.0000	734.0000	738.0000	488750.00	36092624896	569716	737.8	751.3	769.65	781.833	783.033	842.242
2014/05/15	740.0000	744.0000	735.0000	738.0000	529840.00	39175196672	535308	738.4	748	765.95	779.967	780.783	840.633
2014/05/16	736.0000	737.0000	712.0000	717.0000	979972.00	70850576384	522544	734.8	743.2	761.95	777.2	778.4	838.842
2014/05/19	713.0000	715.0000	703.0000	707.0000	1071996.00	75972526080	563108	728	736.8	757.55	774.633	775.783	836.883
2014/05/20	705.0000	709.0000	695.0000	700.0000	808166.00	56712704000	554328	720	730	753.5	771.333	773.25	834.867
2014/05/21	703.0000	712.0000	699.0000	708.0000	679674.00	48029675520	554550	714	725.9	749.85	768	770.867	833
2014/05/22	711.0000	725.0000	710.0000	714.0000	823036.00	59083411456	568110	709.2	723.8	746.6	764.3	769.083	831.192
2014/05/23	716.0000	720.0000	705.0000	707.0000	629728.00	44778696704	560460	707.2	721	742.65	760.567	767.25	829.308
2014/05/26	706.0000	729.0000	705.0000	722.0000	1082902.00	77820583936	506536	710.2	719.1	739.05	757.433	765.617	827.483
2014/05/27	722.0000	725.0000	716.0000	724.0000	440688.00	31768113152	483206	715	717.5	735.5	754.433	763.95	825.717
2014/05/28	721.0000	722.0000	702.0000	707.0000	756804.00	53760696320	536916	714.8	714.4	732.85	751.233	762.117	823.783
2014/05/29	706.0000	710.0000	698.0000	702.0000	807988.00	56763125760	579892	712.4	710.8	729.4	747.567	760.3	821.808
2014/05/30	698.0000	698.0000	677.0000	680.0000	943828.00	64727384064	652828	707	707.1	725.15	743.667	758.1	819.675
