'IF0001'	IF当月连续	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
2010/04/16	3450.0000	3488.0000	3413.2000	3415.6001	48988.00	50538807296	0						
2010/04/19	3396.0000	3398.0000	3166.2000	3197.3000	109733.00	108206415872	3954						
2010/04/20	3209.2000	3240.0000	3168.8000	3214.6001	141862.00	136342093824	4496						
2010/04/21	3215.0000	3281.2000	3208.0000	3267.2000	114531.00	111267897344	5062						
2010/04/22	3260.2000	3274.3000	3211.0000	3236.2000	133247.00	129629806592	5062	3266.18					
2010/04/23	3241.0000	3266.0000	3221.0000	3221.2000	116981.00	113886814208	5808	3227.3					
2010/04/26	3243.0000	3252.0000	3211.8000	3219.6001	112229.00	108949725184	7079	3231.76					
2010/04/27	3201.2000	3205.0000	3107.6001	3138.8000	139961.00	132007157760	7386	3216.6					
2010/04/28	3101.6001	3142.6001	3094.2000	3129.0000	128530.00	120470298624	7092	3188.96					
2010/04/29	3141.0000	3157.6001	3082.2000	3083.8000	116254.00	109415653376	8705	3158.48	3212.33				
2010/04/30	3103.0000	3119.6001	3043.0000	3107.0000	184157.00	170310303744	8297	3135.64	3181.47				
2010/05/04	3079.8000	3094.3000	3060.8000	3076.3000	150123.00	138591338496	8261	3106.98	3169.37				
2010/05/05	3046.3000	3087.0000	3031.0000	3076.3000	145542.00	133493194752	8261	3094.48	3155.54				
2010/05/06	3078.6001	3083.3000	2953.6001	2967.3000	170221.00	154506805248	10150	3062.14	3125.55				
2010/05/07	2928.0000	2959.8000	2862.2000	2897.6001	240106.00	209597906944	8282	3024.9	3091.69				
2010/05/10	2910.0000	2931.0000	2870.0000	2918.0000	201919.00	175917203456	9873	2987.1	3061.37				
2010/05/11	2949.0000	2957.8000	2797.2000	2801.6001	224626.00	194325118976	8987	2932.16	3019.57				
2010/05/12	2809.0000	2855.0000	2782.0000	2836.2000	273131.00	231214055424	8144	2884.14	2989.31				
2010/05/13	2847.8000	2915.6001	2823.0000	2894.6001	217422.00	186684129280	8276	2869.6	2965.87				
2010/05/14	2880.0000	2894.8000	2850.3000	2862.6001	185453.00	159865831424	6237	2862.6	2943.75	3078.04			
2010/05/17	2840.0000	2840.2000	2708.0000	2719.0000	117625.00	97865072640	4126	2822.8	2904.95	3043.21			
2010/05/18	2717.0000	2808.0000	2703.0000	2779.0000	40298.00	33122066432	1924	2818.28	2875.22	3022.295			
2010/05/19	2762.2000	2808.8000	2722.6001	2763.3000	14913.00	12382801920	1159	2803.7	2843.92	2999.73			
2010/05/20	2770.3000	2820.0000	2713.6001	2735.0000	7125.00	5908115968	642	2771.78	2820.69	2973.12			
2010/05/21	2694.8000	2751.6001	2661.0000	2749.8000	3765.00	3069376256	0	2749.22	2805.91	2948.8			
2010/05/24	2814.0000	2933.3000	2808.0000	2902.0000	300512.00	260913840128	15770	2785.82	2804.31	2932.84			
2010/05/25	2880.0000	2889.2000	2811.0000	2813.2000	288927.00	247386079232	15644	2792.66	2805.47	2912.52			
2010/05/26	2846.2000	2878.8000	2817.6001	2839.6001	326246.00	278374416384	15219	2807.92	2805.81	2897.56			
2010/05/27	2825.0000	2909.8000	2790.0000	2901.3000	325500.00	277922283520	16397	2841.18	2806.48	2886.175			
2010/05/28	2930.0000	2942.0000	2853.0000	2865.2000	306690.00	266372939776	16764	2864.26	2806.74	2875.245	2987.607		
2010/05/31	2850.0000	2898.8000	2786.2000	2792.0000	337678.00	288432455680	18662	2842.26	2814.04	2859.495	2966.82		
2010/06/01	2780.0000	2820.6001	2732.0000	2762.0000	420130.00	349613424640	17746	2832.02	2812.34	2843.78	2952.31		
2010/06/02	2758.0000	2781.3000	2718.2000	2776.3000	343923.00	284048064512	18691	2819.36	2813.64	2828.78	2937.7		
2010/06/03	2799.8000	2807.0000	2741.0000	2748.0000	342961.00	285871079424	18712	2788.7	2814.94	2817.815	2920.393		
2010/06/04	2740.0000	2767.8000	2722.2000	2761.0000	324387.00	267206426624	16354	2767.86	2816.06	2810.985	2904.553		
