date,open,high,low,close,volume,turnover
2010-04-16,3450.0000,3488.0000,3413.2000,3415.6001,48988.00,50538807296
2010-04-19,3396.0000,3398.0000,3166.2000,3197.3000,109733.00,108206415872
2010-04-20,3209.2000,3240.0000,3168.8000,3214.6001,141862.00,136342093824
2010-04-21,3215.0000,3281.2000,3208.0000,3267.2000,114531.00,111267897344
2010-04-22,3260.2000,3274.3000,3211.0000,3236.2000,133247.00,129629806592
2010-04-23,3241.0000,3266.0000,3221.0000,3221.2000,116981.00,113886814208
2010-04-26,3243.0000,3252.0000,3211.8000,3219.6001,112229.00,108949725184
2010-04-27,3201.2000,3205.0000,3107.6001,3138.8000,139961.00,132007157760
2010-04-28,3101.6001,3142.6001,3094.2000,3129.0000,128530.00,120470298624
2010-04-29,3141.0000,3157.6001,3082.2000,3083.8000,116254.00,109415653376
2010-04-30,3103.0000,3119.6001,3043.0000,3107.0000,184157.00,170310303744
2010-05-04,3079.8000,3094.3000,3060.8000,3076.3000,150123.00,138591338496
2010-05-05,3046.3000,3087.0000,3031.0000,3076.3000,145542.00,133493194752
2010-05-06,3078.6001,3083.3000,2953.6001,2967.3000,170221.00,154506805248
2010-05-07,2928.0000,2959.8000,2862.2000,2897.6001,240106.00,209597906944
2010-05-10,2910.0000,2931.0000,2870.0000,2918.0000,201919.00,175917203456
2010-05-11,2949.0000,2957.8000,2797.2000,2801.6001,224626.00,194325118976
2010-05-12,2809.0000,2855.0000,2782.0000,2836.2000,273131.00,231214055424
2010-05-13,2847.8000,2915.6001,2823.0000,2894.6001,217422.00,186684129280
2010-05-14,2880.0000,2894.8000,2850.3000,2862.6001,185453.00,159865831424
2010-05-17,2840.0000,2840.2000,2708.0000,2719.0000,117625.00,97865072640
2010-05-18,2717.0000,2808.0000,2703.0000,2779.0000,40298.00,33122066432
2010-05-19,2762.2000,2808.8000,2722.6001,2763.3000,14913.00,12382801920
2010-05-20,2770.3000,2820.0000,2713.6001,2735.0000,7125.00,5908115968
2010-05-21,2694.8000,2751.6001,2661.0000,2749.8000,3765.00,3069376256
2010-05-24,2814.0000,2933.3000,2808.0000,2902.0000,300512.00,260913840128
2010-05-25,2880.0000,2889.2000,2811.0000,2813.2000,288927.00,247386079232
2010-05-26,2846.2000,2878.8000,2817.6001,2839.6001,326246.00,278374416384
2010-05-27,2825.0000,2909.8000,2790.0000,2901.3000,325500.00,277922283520
2010-05-28,2930.0000,2942.0000,2853.0000,2865.2000,306690.00,266372939776
2010-05-31,2850.0000,2898.8000,2786.2000,2792.0000,337678.00,288432455680
2010-06-01,2780.0000,2820.6001,2732.0000,2762.0000,420130.00,349613424640
2010-06-02,2758.0000,2781.3000,2718.2000,2776.3000,343923.00,284048064512
2010-06-03,2799.8000,2807.0000,2741.0000,2748.0000,342961.00,285871079424
2010-06-04,2740.0000,2767.8000,2722.2000,2761.0000,324387.00,267206426624
2010-06-07,2700.0000,2718.0000,2680.0000,2706.2000,289681.00,234726768640
2010-06-08,2709.8000,2726.0000,2683.0000,2724.3000,225087.00,182970957824
2010-06-09,2720.3000,2808.0000,2700.3000,2788.8000,314559.00,258644967424
2010-06-10,2776.0000,2791.0000,2763.0000,2769.6001,232630.00,193539407872
2010-06-11,2788.0000,2796.8000,2765.0000,2765.8000,169575.00,141499449344
2010-06-17,2779.0000,2784.3000,2743.0000,2744.2000,29949.00,24881301504
2010-06-18,2743.0000,2756.0000,2712.0000,2716.8000,14919.00,12244629504
2010-06-21,2749.2000,2816.6001,2718.0000,2804.8000,277989.00,230887604224
2010-06-22,2795.6001,2815.0000,2793.2000,2797.6001,220831.00,185624412160
2010-06-23,2785.0000,2801.6001,2743.0000,2765.2000,238316.00,198109233152
