date,open,high,low,close,volume,turnover
2015-04-16,3100.0000,3288.2000,3088.8000,3283.8000,144423.00,137728655360
2015-04-17,3303.6001,3341.6001,3238.0000,3254.0000,271224.00,267552063488
2015-04-20,3258.0000,3315.0000,3143.6001,3146.8000,267213.00,260529438720
2015-04-21,3176.8000,3242.2000,3153.0000,3234.0000,239311.00,229320097792
2015-04-22,3250.0000,3333.2000,3229.8000,3308.0000,239676.00,235475714048
2015-04-23,3318.6001,3348.2000,3253.3999,3267.8000,246929.00,244348157952
2015-04-24,3248.8000,3267.8000,3170.0000,3233.0000,224297.00,217010192384
2015-04-27,3260.0000,3358.0000,3257.8000,3357.6001,259172.00,256955105280
2015-04-28,3339.0000,3376.0000,3265.0000,3286.8000,329692.00,327774732288
2015-04-29,3282.0000,3325.6001,3261.0000,3295.2000,242567.00,239786655744
2015-04-30,3315.2000,3331.2000,3247.2000,3269.3999,202408.00,200023310336
2015-05-04,3295.8000,3301.8000,3225.8000,3273.2000,189061.00,185146015744
2015-05-05,3279.6001,3281.6001,3141.2000,3163.0000,217674.00,210023333888
2015-05-06,3171.2000,3257.3999,3116.0000,3153.0000,261933.00,251113046016
2015-05-07,3159.6001,3170.0000,3103.0000,3111.2000,234619.00,220961865728
2015-05-08,3131.0000,3149.0000,3051.2000,3099.8000,215483.00,200658501632
2015-05-11,3112.0000,3170.3999,3078.0000,3160.0000,201465.00,188934832128
2015-05-12,3151.0000,3194.6001,3138.0000,3175.0000,189729.00,180330070016
2015-05-13,3200.0000,3204.8000,3112.3999,3125.3999,165986.00,157229481984
2015-05-14,3131.2000,3158.3999,3108.0000,3129.3999,106178.00,99736576000
2015-05-15,3140.0000,3140.0000,3054.8000,3073.2000,42093.00,39060353024
2015-05-18,3033.6001,3049.0000,2962.0000,2969.3999,177652.00,160675921920
2015-05-19,2973.3999,3145.6001,2971.2000,3143.0000,295536.00,273278812160
2015-05-20,3163.0000,3217.0000,3102.2000,3145.2000,288447.00,273041506304
2015-05-21,3157.0000,3200.2000,3139.8000,3191.3999,259112.00,246253469696
2015-05-22,3200.0000,3310.0000,3194.0000,3303.0000,323497.00,316097232896
2015-05-25,3298.6001,3435.3999,3280.0000,3413.6001,294392.00,297241051136
2015-05-26,3426.0000,3458.0000,3377.8000,3417.8000,346109.00,355529490432
2015-05-27,3453.8000,3507.0000,3351.8000,3396.8000,342601.00,351430967296
2015-05-28,3411.6001,3419.0000,3121.2000,3164.6001,385437.00,381146693632
2015-05-29,3179.3999,3194.8000,3060.6001,3118.6001,371616.00,350518575104
2015-06-01,3100.0000,3340.3999,3086.6001,3336.0000,344357.00,333048905728
2015-06-02,3340.0000,3349.2000,3220.3999,3295.6001,356277.00,351055675392
2015-06-03,3296.6001,3336.0000,3210.2000,3244.8000,411425.00,403790299136
2015-06-04,3258.8000,3395.8000,3021.2000,3373.2000,535862.00,524572033024
2015-06-05,3369.0000,3426.2000,3203.0000,3304.8000,473292.00,472055119872
2015-06-08,3315.0000,3543.0000,3285.0000,3535.0000,474019.00,488105050112
2015-06-09,3539.2000,3565.0000,3385.0000,3415.8000,558664.00,579340992512
2015-06-10,3399.0000,3445.8000,3351.2000,3365.0000,422773.00,430594785280
2015-06-11,3381.8000,3415.0000,3326.6001,3361.0000,394680.00,398282489856
2015-06-12,3373.2000,3408.0000,3330.0000,3405.2000,360426.00,364192333824
2015-06-15,3395.6001,3417.3999,3246.6001,3263.8000,398272.00,397367115776
2015-06-16,3264.8000,3293.0000,3153.2000,3193.3999,388570.00,376961171456
2015-06-17,3231.0000,3233.6001,3155.2000,3205.3999,362681.00,347296038912
2015-06-18,3200.0000,3205.0000,3065.8000,3085.3999,243040.00,229080416256
2015-06-19,3098.2000,3098.2000,2926.6001,2993.0000,83799.00,76549611520
2015-06-23,2888.6001,3038.8000,2818.0000,2982.6001,535265.00,475048542208
2015-06-24,2998.8000,3058.0000,2965.0000,3044.2000,414165.00,374133358592
2015-06-25,3080.0000,3097.3999,2906.6001,2919.2000,473847.00,430506934272
2015-06-26,2906.0000,2968.8000,2666.2000,2690.0000,661394.00,563815579648
2015-06-29,2790.0000,2836.2000,2473.0000,2654.8000,861208.00,698682048512
2015-06-30,2715.2000,2886.2000,2631.2000,2847.8000,649227.00,537883705344
2015-07-01,2847.0000,2878.2000,2629.6001,2696.2000,553003.00,467179044864
2015-07-02,2744.8000,2814.3999,2605.0000,2740.3999,632565.00,518468829184
2015-07-03,2725.0000,2760.0000,2518.3999,2596.0000,582227.00,462505902080
2015-07-06,2850.0000,2870.0000,2633.0000,2756.8000,469021.00,384886013952
2015-07-07,2737.0000,2826.0000,2677.0000,2747.0000,403815.00,332508299264
2015-07-08,2650.0000,3055.8000,2500.2000,2500.2000,168297.00,134035128320
2015-07-09,2405.2000,2751.3999,2355.2000,2751.3999,273706.00,213805187072
2015-07-10,2739.8000,3020.0000,2700.0000,2853.0000,586568.00,509084532736
2015-07-13,2839.0000,2892.0000,2791.0000,2799.0000,381964.00,324786487296
2015-07-14,2814.0000,2814.3999,2646.0000,2712.6001,339183.00,277985492992
2015-07-15,2711.8000,2734.0000,2623.0000,2708.0000,344500.00,277450588160
2015-07-16,2694.2000,2784.3999,2667.2000,2760.6001,223454.00,183047127040
2015-07-17,2760.0000,2799.0000,2728.2000,2792.2000,36370.00,30151098368
2015-07-20,2747.2000,2763.0000,2641.2000,2690.3999,300532.00,243355877376
2015-07-21,2684.0000,2711.0000,2624.6001,2666.0000,313348.00,250766360576
2015-07-22,2660.0000,2662.0000,2591.2000,2632.6001,232780.00,183770529792
2015-07-23,2627.0000,2762.0000,2622.6001,2745.8000,282957.00,230004654080
2015-07-24,2743.6001,2754.3999,2642.0000,2666.2000,263171.00,213170110464
2015-07-27,2660.6001,2661.0000,2403.2000,2435.0000,256129.00,196543594496
2015-07-28,2411.0000,2487.3999,2380.2000,2422.3999,346447.00,252711354368
2015-07-29,2450.8000,2487.0000,2402.0000,2478.3999,272411.00,199412514816
2015-07-30,2478.6001,2487.2000,2360.0000,2410.3999,282109.00,206826651648
2015-07-31,2412.6001,2470.0000,2363.2000,2412.2000,262487.00,188976627712
2015-08-03,2398.0000,2409.3999,2347.0000,2405.2000,178356.00,126960558080
2015-08-04,2390.3999,2507.6001,2390.3999,2483.6001,197170.00,145312563200
2015-08-05,2486.0000,2487.6001,2423.0000,2448.8000,177623.00,130967371776
2015-08-06,2430.0000,2484.8000,2404.8000,2439.6001,216145.00,158516051968
2015-08-07,2431.0000,2519.8000,2431.0000,2464.8000,239727.00,178736005120
2015-08-10,2472.2000,2608.0000,2472.2000,2575.3999,213187.00,162629058560
2015-08-11,2585.2000,2594.6001,2548.8000,2562.3999,207352.00,160132497408
2015-08-12,2554.0000,2589.0000,2530.0000,2548.0000,228056.00,175194701824
2015-08-13,2555.2000,2582.0000,2510.6001,2553.2000,208055.00,158626824192
2015-08-14,2558.2000,2574.2000,2530.2000,2549.2000,195238.00,149627355136
2015-08-17,2546.6001,2546.6001,2467.2000,2502.6001,198816.00,148877656064
2015-08-18,2510.0000,2531.8000,2293.0000,2402.6001,262702.00,193596440576
2015-08-19,2382.0000,2440.0000,2318.0000,2391.0000,217036.00,154472185856
2015-08-20,2391.0000,2394.0000,2348.0000,2357.0000,101131.00,71930093568
2015-08-21,2343.0000,2358.6001,2275.6001,2300.8000,33591.00,23420233728
2015-08-24,2194.6001,2194.6001,2005.2000,2005.2000,229796.00,141797965824
2015-08-25,1960.4000,2002.2000,1809.8000,1809.8000,403171.00,232795242496
2015-08-26,1853.8000,1956.4000,1781.0000,1829.6000,371256.00,208704536576
2015-08-27,1870.0000,2043.0000,1870.0000,2034.2000,363261.00,210837569536
2015-08-28,2067.8000,2104.0000,2009.8000,2073.0000,273270.00,167975780352
2015-08-31,2060.2000,2072.6001,1983.4000,2052.8000,165697.00,101294039040
2015-09-01,2049.8000,2095.0000,1969.0000,2036.0000,192928.00,118480166912
2015-09-02,2011.0000,2144.0000,2000.0000,2007.8000,206868.00,128467329024
2015-09-07,2060.0000,2208.0000,2047.8000,2052.3999,16627.00,10599043072
2015-09-08,2075.0000,2182.0000,2051.2000,2170.3999,11823.00,7471760896
2015-09-09,2194.0000,2205.3999,2160.3999,2177.8000,9056.00,5923113984
2015-09-10,2159.6001,2198.6001,2145.8000,2181.6001,6902.00,4500729856
2015-09-11,2184.0000,2213.3999,2168.2000,2176.2000,6424.00,4220584192
2015-09-14,2208.2000,2211.0000,2100.0000,2134.0000,8613.00,5539415552
2015-09-15,2136.0000,2175.0000,2130.8000,2160.0000,6459.00,4169364736
2015-09-16,2168.0000,2269.8000,2133.2000,2243.6001,7009.00,4575662592
2015-09-17,2233.3999,2255.3999,2192.2000,2195.2000,4292.00,2866571008
2015-09-18,2199.8000,2224.3999,2190.2000,2207.6001,2708.00,1797645056
2015-09-21,2111.3999,2187.6001,2111.3999,2185.6001,5446.00,3525240576
2015-09-22,2186.2000,2220.0000,2171.0000,2194.2000,5302.00,3493395200
2015-09-23,2175.0000,2184.8000,2130.0000,2139.2000,5830.00,3770436096
2015-09-24,2134.0000,2169.0000,2134.0000,2153.0000,4442.00,2870956800
2015-09-25,2151.3999,2160.6001,2111.2000,2131.0000,5135.00,3290568192
2015-09-28,2122.6001,2145.8000,2105.0000,2136.2000,4338.00,2767267072
2015-09-29,2111.0000,2114.2000,2066.3999,2094.2000,4843.00,3038622464
2015-09-30,2101.3999,2141.0000,2101.3999,2112.6001,4590.00,2918550528
2015-10-08,2217.0000,2250.0000,2170.2000,2171.0000,5351.00,3537073152
2015-10-09,2189.3999,2215.6001,2184.6001,2207.3999,5160.00,3407532288
2015-10-12,2211.2000,2310.8000,2211.2000,2276.2000,6021.00,4090356736
2015-10-13,2278.3999,2282.8000,2258.3999,2262.0000,4607.00,3135570688
2015-10-14,2247.3999,2278.0000,2236.2000,2240.0000,5071.00,3439830784
2015-10-15,2340.0000,2340.0000,2247.2000,2297.0000,4752.00,3237171456
2015-10-16,2297.6001,2325.0000,2297.6001,2316.6001,3707.00,2569558784
2015-10-19,2297.3999,2305.0000,2255.0000,2263.2000,4703.00,3221434880
2015-10-20,2267.3999,2299.0000,2252.0000,2298.0000,4810.00,3273581824
2015-10-21,2291.0000,2313.3999,2202.8000,2251.0000,6584.00,4498434560
2015-10-22,2251.6001,2305.0000,2251.6001,2291.0000,5604.00,3828532480
2015-10-23,2308.8000,2321.0000,2280.2000,2320.0000,4829.00,3330177024
2015-10-26,2331.8000,2348.8000,2301.6001,2316.3999,4726.00,3302322176
2015-10-27,2314.0000,2319.8000,2271.0000,2314.8000,4974.00,3427033856
2015-10-28,2301.8000,2311.0000,2275.6001,2279.0000,4753.00,3270675968
2015-10-29,2283.2000,2299.0000,2271.2000,2287.3999,4289.00,2940432640
2015-10-30,2284.8000,2311.0000,2271.6001,2286.2000,4486.00,3080534272
2015-11-02,2255.8000,2293.6001,2253.2000,2266.6001,4709.00,3215565056
2015-11-03,2275.2000,2282.8000,2247.0000,2251.0000,4603.00,3131678976
2015-11-04,2265.3999,2372.0000,2260.8000,2367.2000,6815.00,4729856000
2015-11-05,2364.0000,2476.0000,2350.2000,2424.0000,8064.00,5847381504
2015-11-06,2428.0000,2493.6001,2417.2000,2486.8000,7134.00,5241820160
2015-11-09,2484.0000,2564.8000,2471.3999,2507.0000,6843.00,5187294208
2015-11-10,2497.2000,2534.8000,2485.6001,2497.0000,5739.00,4310163968
2015-11-11,2492.2000,2510.8000,2450.2000,2498.3999,5296.00,3948057600
2015-11-12,2496.8000,2510.8000,2447.0000,2462.0000,5269.00,3909865472
2015-11-13,2442.8000,2468.3999,2431.0000,2436.2000,4947.00,3631062016
2015-11-16,2401.0000,2437.3999,2396.2000,2433.3999,4813.00,3490372096
