'j0001'	焦炭连续	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
2011/04/28	2330.0000	2347.0000	2326.0000	2337.0000	26286.00	6139532288	14190						
2011/04/29	2337.0000	2343.0000	2323.0000	2329.0000	17654.00	4117706496	11762						
2011/05/03	2330.0000	2354.0000	2326.0000	2344.0000	26594.00	6230841856	12876						
2011/05/04	2341.0000	2346.0000	2320.0000	2329.0000	14518.00	3385485824	10782						
2011/05/05	2309.0000	2319.0000	2293.0000	2308.0000	13896.00	3207532032	10736	2329.4					
2011/05/06	2255.0000	2289.0000	2255.0000	2271.0000	14736.00	3351934976	10206	2316.2					
2011/05/09	2280.0000	2284.0000	2273.0000	2280.0000	7240.00	1649553664	9292	2306.4					
2011/05/10	2285.0000	2288.0000	2275.0000	2287.0000	7890.00	1800360960	8290	2295					
2011/05/11	2293.0000	2338.0000	2286.0000	2314.0000	30078.00	6983377920	9430	2292					
2011/05/12	2290.0000	2352.0000	2288.0000	2344.0000	61826.00	14430103552	17712	2299.2	2314.3				
2011/05/13	2360.0000	2444.0000	2353.0000	2419.0000	134808.00	32505755648	26414	2328.8	2322.5				
2011/05/16	2415.0000	2423.0000	2396.0000	2407.0000	57056.00	13753587712	25800	2354.2	2330.3				
2011/05/17	2414.0000	2417.0000	2371.0000	2391.0000	57660.00	13793401856	21764	2375	2335				
2011/05/18	2400.0000	2423.0000	2370.0000	2372.0000	70386.00	16868028416	21830	2386.6	2339.3				
2011/05/19	2394.0000	2394.0000	2363.0000	2367.0000	47602.00	11302192128	18316	2391.2	2345.2				
2011/05/20	2364.0000	2392.0000	2362.0000	2376.0000	37048.00	8809309184	18196	2382.6	2355.7				
2011/05/23	2388.0000	2389.0000	2350.0000	2357.0000	18982.00	4485878272	17736	2372.6	2363.4				
2011/05/24	2356.0000	2380.0000	2345.0000	2380.0000	30504.00	7234447360	20964	2370.4	2372.7				
2011/05/25	2382.0000	2385.0000	2366.0000	2375.0000	18206.00	4320948224	18796	2371	2378.8				
2011/05/26	2385.0000	2398.0000	2377.0000	2378.0000	19554.00	4669179392	19388	2373.2	2382.2	2348.25			
2011/05/27	2379.0000	2380.0000	2351.0000	2371.0000	21708.00	5128421888	18558	2372.2	2377.4	2349.95			
2011/05/30	2370.0000	2382.0000	2360.0000	2365.0000	16418.00	3893057024	17792	2373.8	2373.2	2351.75			
2011/05/31	2370.0000	2378.0000	2361.0000	2364.0000	15208.00	3605924608	15882	2370.6	2370.5	2352.75			
2011/06/01	2370.0000	2375.0000	2357.0000	2359.0000	13608.00	3217637120	15718	2367.4	2369.2	2354.25			
2011/06/02	2351.0000	2363.0000	2337.0000	2339.0000	18632.00	4376358400	15418	2359.6	2366.4	2355.8			
2011/06/03	2340.0000	2344.0000	2320.0000	2326.0000	16864.00	3930557184	15508	2350.6	2361.4	2358.55			
2011/06/07	2321.0000	2341.0000	2312.0000	2331.0000	15600.00	3637384704	14872	2343.8	2358.8	2361.1			
2011/06/08	2338.0000	2338.0000	2320.0000	2326.0000	7924.00	1844467968	14088	2336.2	2353.4	2363.05			
2011/06/09	2330.0000	2333.0000	2318.0000	2318.0000	8022.00	1865987584	14184	2328	2347.7	2363.25			
