date,open,high,low,close,volume,turnover
2011-04-28,2330.0000,2347.0000,2326.0000,2337.0000,26286.00,6139532288
2011-04-29,2337.0000,2343.0000,2323.0000,2329.0000,17654.00,4117706496
2011-05-03,2330.0000,2354.0000,2326.0000,2344.0000,26594.00,6230841856
2011-05-04,2341.0000,2346.0000,2320.0000,2329.0000,14518.00,3385485824
2011-05-05,2309.0000,2319.0000,2293.0000,2308.0000,13896.00,3207532032
2011-05-06,2255.0000,2289.0000,2255.0000,2271.0000,14736.00,3351934976
2011-05-09,2280.0000,2284.0000,2273.0000,2280.0000,7240.00,1649553664
2011-05-10,2285.0000,2288.0000,2275.0000,2287.0000,7890.00,1800360960
2011-05-11,2293.0000,2338.0000,2286.0000,2314.0000,30078.00,6983377920
2011-05-12,2290.0000,2352.0000,2288.0000,2344.0000,61826.00,14430103552
2011-05-13,2360.0000,2444.0000,2353.0000,2419.0000,134808.00,32505755648
2011-05-16,2415.0000,2423.0000,2396.0000,2407.0000,57056.00,13753587712
2011-05-17,2414.0000,2417.0000,2371.0000,2391.0000,57660.00,13793401856
2011-05-18,2400.0000,2423.0000,2370.0000,2372.0000,70386.00,16868028416
2011-05-19,2394.0000,2394.0000,2363.0000,2367.0000,47602.00,11302192128
2011-05-20,2364.0000,2392.0000,2362.0000,2376.0000,37048.00,8809309184
2011-05-23,2388.0000,2389.0000,2350.0000,2357.0000,18982.00,4485878272
2011-05-24,2356.0000,2380.0000,2345.0000,2380.0000,30504.00,7234447360
2011-05-25,2382.0000,2385.0000,2366.0000,2375.0000,18206.00,4320948224
2011-05-26,2385.0000,2398.0000,2377.0000,2378.0000,19554.00,4669179392
2011-05-27,2379.0000,2380.0000,2351.0000,2371.0000,21708.00,5128421888
2011-05-30,2370.0000,2382.0000,2360.0000,2365.0000,16418.00,3893057024
2011-05-31,2370.0000,2378.0000,2361.0000,2364.0000,15208.00,3605924608
2011-06-01,2370.0000,2375.0000,2357.0000,2359.0000,13608.00,3217637120
2011-06-02,2351.0000,2363.0000,2337.0000,2339.0000,18632.00,4376358400
2011-06-03,2340.0000,2344.0000,2320.0000,2326.0000,16864.00,3930557184
2011-06-07,2321.0000,2341.0000,2312.0000,2331.0000,15600.00,3637384704
2011-06-08,2338.0000,2338.0000,2320.0000,2326.0000,7924.00,1844467968
2011-06-09,2330.0000,2333.0000,2318.0000,2318.0000,8022.00,1865987584
2011-06-10,2324.0000,2324.0000,2306.0000,2311.0000,12900.00,2986102528
2011-06-13,2306.0000,2321.0000,2295.0000,2320.0000,9360.00,2163965696
2011-06-14,2313.0000,2353.0000,2313.0000,2334.0000,42350.00,9887837184
2011-06-15,2339.0000,2342.0000,2321.0000,2323.0000,9736.00,2268762368
2011-06-16,2315.0000,2321.0000,2299.0000,2307.0000,9420.00,2176301312
2011-06-17,2310.0000,2320.0000,2304.0000,2307.0000,6440.00,1487787008
2011-06-20,2306.0000,2310.0000,2280.0000,2281.0000,8336.00,1911622400
2011-06-21,2288.0000,2300.0000,2270.0000,2295.0000,10346.00,2361110784
2011-06-22,2290.0000,2296.0000,2283.0000,2288.0000,6136.00,1404765952
2011-06-23,2287.0000,2322.0000,2280.0000,2318.0000,23256.00,5370499584
2011-06-24,2318.0000,2323.0000,2300.0000,2302.0000,13368.00,3086205696
2011-06-27,2296.0000,2318.0000,2291.0000,2308.0000,12430.00,2866609152
2011-06-28,2316.0000,2338.0000,2302.0000,2303.0000,18786.00,4357065728
2011-06-29,2310.0000,2313.0000,2288.0000,2296.0000,10906.00,2506515968
2011-06-30,2299.0000,2312.0000,2296.0000,2309.0000,11084.00,2556744704
2011-07-01,2308.0000,2317.0000,2295.0000,2296.0000,7398.00,1706469760
2011-07-04,2299.0000,2325.0000,2293.0000,2316.0000,15622.00,3611928576
2011-07-05,2317.0000,2322.0000,2306.0000,2315.0000,9450.00,2186640896
2011-07-06,2321.0000,2345.0000,2316.0000,2342.0000,22492.00,5251117056
2011-07-07,2340.0000,2348.0000,2307.0000,2311.0000,19208.00,4466265600
2011-07-08,2316.0000,2322.0000,2302.0000,2307.0000,12320.00,2849001216
2011-07-11,2303.0000,2316.0000,2302.0000,2304.0000,6404.00,1478653184
