'm0001'	豆粕连续	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
2005/07/01	2648.0000	2673.0000	2631.0000	2673.0000	228.00	46	0						
2005/07/04	2659.0000	2700.0000	2659.0000	2700.0000	66.00	46	0						
2005/07/05	2689.0000	2710.0000	2686.0000	2694.0000	28.00	50	0						
2005/07/06	2748.0000	2748.0000	2711.0000	2717.0000	38.00	54	0						
2005/07/07	2723.0000	2729.0000	2710.0000	2710.0000	6.00	54	0	2698.8					
2005/07/08	2666.0000	2705.0000	2666.0000	2705.0000	22.00	54	0	2705.2					
2005/07/11	2719.0000	2719.0000	2668.0000	2708.0000	74.00	54	0	2706.8					
2005/07/12	2726.0000	2726.0000	2710.0000	2714.0000	14.00	54	0	2710.8					
2005/07/13	2718.0000	2718.0000	2688.0000	2695.0000	32.00	40	0	2706.4					
2005/07/14	2687.0000	2698.0000	2684.0000	2698.0000	8.00	40	0	2704	2701.4				
2005/07/15	2679.0000	2745.0000	2679.0000	2705.0000	46.00	38	0	2704	2704.6				
2005/07/18	2703.0000	2726.0000	2692.0000	2692.0000	62.00	38	0	2700.8	2703.8				
2005/07/19	2669.0000	2701.0000	2669.0000	2697.0000	48.00	38	0	2697.4	2704.1				
2005/07/20	2651.0000	2651.0000	2591.0000	2620.0000	36.00	42	0	2682.4	2694.4				
2005/07/21	2629.0000	2643.0000	2624.0000	2630.0000	26.00	46	0	2668.8	2686.4				
2005/07/22	2630.0000	2630.0000	2542.0000	2581.0000	50.00	36	0	2644	2674				
2005/07/25	2511.0000	2559.0000	2511.0000	2533.0000	36.00	36	0	2612.2	2656.5				
2005/07/26	2536.0000	2549.0000	2536.0000	2549.0000	6.00	34	0	2582.6	2640				
2005/07/27	2535.0000	2535.0000	2530.0000	2530.0000	6.00	38	0	2564.6	2623.5				
2005/07/28	2549.0000	2549.0000	2542.0000	2542.0000	4.00	38	0	2547	2607.9	2654.65			
2005/07/29	2550.0000	2550.0000	2483.0000	2526.0000	24.00	46	0	2536	2590	2647.3			
2005/08/01	2569.0000	2574.0000	2541.0000	2541.0000	50.00	152	0	2537.6	2574.9	2639.35			
2005/08/02	2543.0000	2560.0000	2536.0000	2560.0000	8.00	150	0	2539.8	2561.2	2632.65			
2005/08/03	2570.0000	2581.0000	2570.0000	2579.0000	20.00	152	0	2549.6	2557.1	2625.75			
2005/08/04	2541.0000	2544.0000	2532.0000	2540.0000	20.00	152	0	2549.2	2548.1	2617.25			
2005/08/05	2540.0000	2573.0000	2540.0000	2561.0000	28.00	152	0	2556.2	2546.1	2610.05			
2005/08/08	2630.0000	2630.0000	2542.0000	2566.0000	24.00	154	0	2561.2	2549.4	2602.95			
2005/08/09	2548.0000	2554.0000	2541.0000	2541.0000	12.00	160	0	2557.4	2548.6	2594.3			
2005/08/10	2521.0000	2525.0000	2495.0000	2518.0000	80.00	162	0	2545.2	2547.4	2585.45			
2005/08/11	2523.0000	2527.0000	2500.0000	2525.0000	36.00	166	0	2542.2	2545.7	2576.8	2618.333		
2005/08/15	2514.0000	2514.0000	2485.0000	2491.0000	18.00	164	0	2528.2	2542.2	2566.1	2612.267		
2005/08/16	2450.0000	2459.0000	2445.0000	2445.0000	78.00	196	0	2504	2532.6	2553.75	2603.767		
2005/08/17	2465.0000	2465.0000	2440.0000	2443.0000	48.00	184	0	2484.4	2520.9	2541.05	2595.4		
2005/08/18	2451.0000	2468.0000	2429.0000	2468.0000	196.00	232	0	2474.4	2509.8	2533.45	2587.1		
2005/08/19	2452.0000	2464.0000	2443.0000	2454.0000	152.00	278	0	2460.2	2501.2	2524.65	2578.567		
2005/08/22	2454.0000	2480.0000	2454.0000	2480.0000	116.00	208	0	2458	2493.1	2519.6	2571.067		
2005/08/23	2480.0000	2509.0000	2480.0000	2500.0000	76.00	206	0	2469	2486.5	2517.95	2564.133		
2005/08/24	2493.0000	2493.0000	2475.0000	2490.0000	106.00	206	0	2478.4	2481.4	2515	2556.667		
2005/08/25	2483.0000	2494.0000	2482.0000	2492.0000	18.00	210	0	2483.2	2478.8	2513.1	2549.9		
2005/08/26	2462.0000	2490.0000	2441.0000	2441.0000	144.00	230	0	2480.6	2470.4	2508.05	2541.333		
2005/08/29	2475.0000	2518.0000	2475.0000	2499.0000	44.00	226	0	2484.4	2471.2	2506.7	2534.467		
2005/08/30	2455.0000	2500.0000	2455.0000	2495.0000	300.00	240	0	2483.4	2476.2	2504.4	2527.9		
2005/08/31	2510.0000	2545.0000	2510.0000	2545.0000	66.00	254	0	2494.4	2486.4	2503.65	2522.833		
2005/09/01	2480.0000	2512.0000	2475.0000	2487.0000	191650.00	55026	0	2493.4	2488.3	2499.05	2518.4		
2005/09/02	2505.0000	2537.0000	2504.0000	2525.0000	182622.00	68380	0	2510.2	2495.4	2498.3	2514.9		
