date,open,high,low,close,volume,turnover
2005-07-01,2648.0000,2673.0000,2631.0000,2673.0000,228.00,46
2005-07-04,2659.0000,2700.0000,2659.0000,2700.0000,66.00,46
2005-07-05,2689.0000,2710.0000,2686.0000,2694.0000,28.00,50
2005-07-06,2748.0000,2748.0000,2711.0000,2717.0000,38.00,54
2005-07-07,2723.0000,2729.0000,2710.0000,2710.0000,6.00,54
2005-07-08,2666.0000,2705.0000,2666.0000,2705.0000,22.00,54
2005-07-11,2719.0000,2719.0000,2668.0000,2708.0000,74.00,54
2005-07-12,2726.0000,2726.0000,2710.0000,2714.0000,14.00,54
2005-07-13,2718.0000,2718.0000,2688.0000,2695.0000,32.00,40
2005-07-14,2687.0000,2698.0000,2684.0000,2698.0000,8.00,40
2005-07-15,2679.0000,2745.0000,2679.0000,2705.0000,46.00,38
2005-07-18,2703.0000,2726.0000,2692.0000,2692.0000,62.00,38
2005-07-19,2669.0000,2701.0000,2669.0000,2697.0000,48.00,38
2005-07-20,2651.0000,2651.0000,2591.0000,2620.0000,36.00,42
2005-07-21,2629.0000,2643.0000,2624.0000,2630.0000,26.00,46
2005-07-22,2630.0000,2630.0000,2542.0000,2581.0000,50.00,36
2005-07-25,2511.0000,2559.0000,2511.0000,2533.0000,36.00,36
2005-07-26,2536.0000,2549.0000,2536.0000,2549.0000,6.00,34
2005-07-27,2535.0000,2535.0000,2530.0000,2530.0000,6.00,38
2005-07-28,2549.0000,2549.0000,2542.0000,2542.0000,4.00,38
2005-07-29,2550.0000,2550.0000,2483.0000,2526.0000,24.00,46
2005-08-01,2569.0000,2574.0000,2541.0000,2541.0000,50.00,152
2005-08-02,2543.0000,2560.0000,2536.0000,2560.0000,8.00,150
2005-08-03,2570.0000,2581.0000,2570.0000,2579.0000,20.00,152
2005-08-04,2541.0000,2544.0000,2532.0000,2540.0000,20.00,152
2005-08-05,2540.0000,2573.0000,2540.0000,2561.0000,28.00,152
2005-08-08,2630.0000,2630.0000,2542.0000,2566.0000,24.00,154
2005-08-09,2548.0000,2554.0000,2541.0000,2541.0000,12.00,160
2005-08-10,2521.0000,2525.0000,2495.0000,2518.0000,80.00,162
2005-08-11,2523.0000,2527.0000,2500.0000,2525.0000,36.00,166
2005-08-15,2514.0000,2514.0000,2485.0000,2491.0000,18.00,164
2005-08-16,2450.0000,2459.0000,2445.0000,2445.0000,78.00,196
2005-08-17,2465.0000,2465.0000,2440.0000,2443.0000,48.00,184
2005-08-18,2451.0000,2468.0000,2429.0000,2468.0000,196.00,232
2005-08-19,2452.0000,2464.0000,2443.0000,2454.0000,152.00,278
2005-08-22,2454.0000,2480.0000,2454.0000,2480.0000,116.00,208
2005-08-23,2480.0000,2509.0000,2480.0000,2500.0000,76.00,206
