'rb0001'	螺纹连续	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
2009/04/08	3480.0000	3491.0000	3456.0000	3463.0000	147288.00	5110325248	91910						
2009/04/09	3476.0000	3486.0000	3460.0000	3468.0000	87688.00	3045146112	94832						
2009/04/10	3483.0000	3499.0000	3470.0000	3484.0000	120978.00	4216230656	100164						
2009/04/13	3485.0000	3493.0000	3464.0000	3469.0000	109820.00	3823170816	109430						
2009/04/14	3475.0000	3600.0000	3469.0000	3560.0000	540646.00	19237918720	150640	3488.8					
2009/04/15	3570.0000	3590.0000	3550.0000	3562.0000	255606.00	9116222464	151496	3508.6					
2009/04/16	3582.0000	3628.0000	3570.0000	3596.0000	250464.00	9009793024	169328	3534.2					
2009/04/17	3594.0000	3648.0000	3581.0000	3620.0000	339250.00	12288726016	219892	3561.4					
2009/04/20	3620.0000	3648.0000	3608.0000	3623.0000	259196.00	9415708672	237828	3592.2					
2009/04/21	3580.0000	3590.0000	3486.0000	3524.0000	332448.00	11767293952	239554	3585	3536.9				
2009/04/22	3550.0000	3566.0000	3508.0000	3526.0000	168524.00	5959141888	232948	3577.8	3543.2				
2009/04/23	3529.0000	3531.0000	3488.0000	3513.0000	130386.00	4573762048	232986	3561.2	3547.7				
2009/04/24	3513.0000	3522.0000	3497.0000	3501.0000	101444.00	3556994816	246048	3537.4	3549.4				
2009/04/27	3510.0000	3520.0000	3492.0000	3499.0000	102472.00	3592028928	254508	3512.6	3552.4				
2009/04/28	3496.0000	3515.0000	3496.0000	3507.0000	96548.00	3386644224	262534	3509.2	3547.1				
2009/04/29	3507.0000	3520.0000	3503.0000	3520.0000	102694.00	3606408704	275054	3508	3542.9				
2009/04/30	3536.0000	3575.0000	3523.0000	3553.0000	246912.00	8749854720	297600	3516	3538.6				
2009/05/04	3573.0000	3660.0000	3571.0000	3636.0000	574332.00	20816228352	326102	3543	3540.2				
2009/05/05	3636.0000	3644.0000	3570.0000	3577.0000	175954.00	6314472960	309944	3558.6	3535.6				
2009/05/06	3578.0000	3598.0000	3573.0000	3594.0000	103788.00	3727648768	313462	3576	3542.6	3539.75			
2009/05/07	3628.0000	3630.0000	3591.0000	3593.0000	150420.00	5427437568	319090	3590.6	3549.3	3546.25			
2009/05/08	3599.0000	3616.0000	3589.0000	3614.0000	103620.00	3733066496	323154	3602.8	3559.4	3553.55			
2009/05/11	3615.0000	3678.0000	3606.0000	3639.0000	335082.00	12227184640	339154	3603.4	3573.2	3561.3			
2009/05/12	3645.0000	3660.0000	3630.0000	3645.0000	193634.00	7063217664	339446	3617	3587.8	3570.1			
2009/05/13	3655.0000	3657.0000	3634.0000	3639.0000	118636.00	4326361088	340500	3626	3601	3574.05			
2009/05/14	3616.0000	3620.0000	3590.0000	3594.0000	139572.00	5022701568	336300	3626.2	3608.4	3575.65			
