date,open,high,low,close,volume,turnover
2009-04-08,3480.0000,3491.0000,3456.0000,3463.0000,147288.00,5110325248
2009-04-09,3476.0000,3486.0000,3460.0000,3468.0000,87688.00,3045146112
2009-04-10,3483.0000,3499.0000,3470.0000,3484.0000,120978.00,4216230656
2009-04-13,3485.0000,3493.0000,3464.0000,3469.0000,109820.00,3823170816
2009-04-14,3475.0000,3600.0000,3469.0000,3560.0000,540646.00,19237918720
2009-04-15,3570.0000,3590.0000,3550.0000,3562.0000,255606.00,9116222464
2009-04-16,3582.0000,3628.0000,3570.0000,3596.0000,250464.00,9009793024
2009-04-17,3594.0000,3648.0000,3581.0000,3620.0000,339250.00,12288726016
2009-04-20,3620.0000,3648.0000,3608.0000,3623.0000,259196.00,9415708672
2009-04-21,3580.0000,3590.0000,3486.0000,3524.0000,332448.00,11767293952
2009-04-22,3550.0000,3566.0000,3508.0000,3526.0000,168524.00,5959141888
2009-04-23,3529.0000,3531.0000,3488.0000,3513.0000,130386.00,4573762048
2009-04-24,3513.0000,3522.0000,3497.0000,3501.0000,101444.00,3556994816
2009-04-27,3510.0000,3520.0000,3492.0000,3499.0000,102472.00,3592028928
2009-04-28,3496.0000,3515.0000,3496.0000,3507.0000,96548.00,3386644224
2009-04-29,3507.0000,3520.0000,3503.0000,3520.0000,102694.00,3606408704
2009-04-30,3536.0000,3575.0000,3523.0000,3553.0000,246912.00,8749854720
2009-05-04,3573.0000,3660.0000,3571.0000,3636.0000,574332.00,20816228352
2009-05-05,3636.0000,3644.0000,3570.0000,3577.0000,175954.00,6314472960
2009-05-06,3578.0000,3598.0000,3573.0000,3594.0000,103788.00,3727648768
2009-05-07,3628.0000,3630.0000,3591.0000,3593.0000,150420.00,5427437568
2009-05-08,3599.0000,3616.0000,3589.0000,3614.0000,103620.00,3733066496
2009-05-11,3615.0000,3678.0000,3606.0000,3639.0000,335082.00,12227184640
2009-05-12,3645.0000,3660.0000,3630.0000,3645.0000,193634.00,7063217664
2009-05-13,3655.0000,3657.0000,3634.0000,3639.0000,118636.00,4326361088
2009-05-14,3616.0000,3620.0000,3590.0000,3594.0000,139572.00,5022701568
2009-05-15,3600.0000,3618.0000,3596.0000,3604.0000,132292.00,4770728448
2009-05-18,3595.0000,3612.0000,3581.0000,3608.0000,104746.00,3767138816
2009-05-19,3630.0000,3630.0000,3611.0000,3618.0000,95620.00,3459337216
2009-05-20,3616.0000,3644.0000,3612.0000,3618.0000,118774.00,4304843264
2009-05-21,3620.0000,3642.0000,3618.0000,3624.0000,117628.00,4269071360
2009-05-22,3619.0000,3627.0000,3608.0000,3618.0000,60222.00,2178676736
2009-05-25,3629.0000,3629.0000,3600.0000,3609.0000,95810.00,3456120832
2009-05-26,3609.0000,3620.0000,3596.0000,3601.0000,114194.00,4118283264
2009-05-27,3628.0000,3628.0000,3606.0000,3610.0000,46518.00,1679634560
2009-06-01,3630.0000,3657.0000,3622.0000,3647.0000,193008.00,7032859136
2009-06-02,3660.0000,3682.0000,3652.0000,3655.0000,199128.00,7295878144
2009-06-03,3659.0000,3672.0000,3656.0000,3670.0000,105466.00,3865434368
2009-06-04,3650.0000,3712.0000,3645.0000,3700.0000,370954.00,13700638720
2009-06-05,3721.0000,3778.0000,3720.0000,3756.0000,267786.00,10054578176
2009-06-08,3755.0000,3793.0000,3747.0000,3788.0000,293778.00,11076815872
2009-06-09,3797.0000,3807.0000,3768.0000,3779.0000,214676.00,8119089152
2009-06-10,3792.0000,3813.0000,3774.0000,3808.0000,238210.00,9046201344
2009-06-11,3810.0000,3940.0000,3807.0000,3878.0000,634152.00,24535871488
2009-06-12,3888.0000,3928.0000,3835.0000,3864.0000,588842.00,22923786240
2009-06-15,3855.0000,3877.0000,3823.0000,3849.0000,366022.00,14094350336
2009-06-16,3829.0000,3882.0000,3828.0000,3865.0000,358246.00,13843881984
2009-06-17,3861.0000,3878.0000,3841.0000,3852.0000,212522.00,8197948928
2009-06-18,3852.0000,3865.0000,3830.0000,3842.0000,188838.00,7262225408
2009-06-19,3852.0000,3920.0000,3846.0000,3907.0000,556782.00,21666228224
2009-06-22,3908.0000,3936.0000,3900.0000,3919.0000,486210.00,19045742592
2009-06-23,3898.0000,3900.0000,3835.0000,3881.0000,481544.00,18629617664
2009-06-24,3888.0000,3897.0000,3858.0000,3870.0000,278854.00,10803520512
2009-06-25,3862.0000,3888.0000,3858.0000,3866.0000,281842.00,10912530432
2009-06-26,3870.0000,3887.0000,3846.0000,3854.0000,370288.00,14296092672
2009-06-29,3846.0000,3853.0000,3823.0000,3829.0000,269442.00,10341330944
2009-06-30,3832.0000,3840.0000,3817.0000,3826.0000,195086.00,7469577216
2009-07-01,3826.0000,3845.0000,3820.0000,3839.0000,204968.00,7862196736
2009-07-02,3856.0000,3878.0000,3845.0000,3867.0000,270952.00,10469837824
2009-07-03,3867.0000,3883.0000,3858.0000,3859.0000,255284.00,9878338560
2009-07-06,3858.0000,3874.0000,3855.0000,3866.0000,124140.00,4799594496
2009-07-07,3876.0000,3880.0000,3864.0000,3870.0000,75408.00,2918068224
2009-07-08,3861.0000,3870.0000,3837.0000,3850.0000,91018.00,3505935360
2009-07-09,3841.0000,3868.0000,3841.0000,3865.0000,54998.00,2118940672
2009-07-10,3874.0000,3892.0000,3865.0000,3882.0000,105188.00,4079591168
2009-07-13,3911.0000,3933.0000,3906.0000,3916.0000,176378.00,6915826688
2009-07-14,3932.0000,3937.0000,3916.0000,3927.0000,139702.00,5485456896
2009-07-15,3936.0000,4005.0000,3935.0000,4002.0000,325300.00,12928544768
2009-07-16,4010.0000,4049.0000,3993.0000,4034.0000,343434.00,13837306880
2009-07-17,4035.0000,4043.0000,3999.0000,4007.0000,240664.00,9657866240
2009-07-20,4016.0000,4031.0000,4006.0000,4029.0000,236266.00,9493928960
2009-07-21,4038.0000,4045.0000,4014.0000,4034.0000,257934.00,10395704320
2009-07-22,4044.0000,4088.0000,4036.0000,4072.0000,385238.00,15664721920
2009-07-23,4088.0000,4124.0000,4076.0000,4122.0000,374508.00,15359644672
2009-07-24,4125.0000,4198.0000,4120.0000,4184.0000,491822.00,20456099840
2009-07-27,4198.0000,4258.0000,4178.0000,4236.0000,703260.00,29665699840
2009-07-28,4235.0000,4336.0000,4218.0000,4331.0000,804126.00,34333956096
2009-07-29,4333.0000,4416.0000,4304.0000,4392.0000,1523852.00,66588098560
2009-07-30,4410.0000,4449.0000,4361.0000,4444.0000,1242210.00,54756261888
2009-07-31,4482.0000,4627.0000,4455.0000,4627.0000,1169890.00,53115666432
2009-08-03,4777.0000,4857.0000,4730.0000,4857.0000,780966.00,37675601920
2009-08-04,4970.0000,4982.0000,4828.0000,4848.0000,521860.00,25501444096
2009-08-05,4870.0000,4950.0000,4820.0000,4875.0000,1873192.00,91298390016
2009-08-06,4865.0000,4899.0000,4810.0000,4853.0000,1621836.00,78808055808
2009-08-07,4837.0000,4854.0000,4631.0000,4653.0000,2229450.00,105487286272
2009-08-10,4658.0000,4725.0000,4556.0000,4642.0000,2447234.00,113166213120
2009-08-11,4618.0000,4675.0000,4603.0000,4658.0000,1560460.00,72489312256
2009-08-12,4645.0000,4662.0000,4564.0000,4591.0000,1695626.00,78064844800
2009-08-13,4621.0000,4679.0000,4602.0000,4617.0000,1571528.00,72862351360
2009-08-14,4620.0000,4640.0000,4461.0000,4512.0000,1802234.00,81511907328
2009-08-17,4443.0000,4537.0000,4365.0000,4436.0000,2215634.00,98590089216
2009-08-18,4475.0000,4499.0000,4392.0000,4416.0000,1939468.00,86165536768
2009-08-19,4400.0000,4414.0000,4219.0000,4219.0000,2016294.00,86800474112
2009-08-20,4240.0000,4317.0000,4131.0000,4283.0000,3422102.00,144649355264
2009-08-21,4270.0000,4426.0000,4245.0000,4334.0000,3726314.00,161803501568
2009-08-24,4451.0000,4462.0000,4306.0000,4323.0000,2943276.00,128290324480
2009-08-25,4280.0000,4280.0000,4181.0000,4240.0000,2379552.00,100605116416
2009-08-26,4210.0000,4296.0000,4202.0000,4269.0000,2537210.00,107824463872
2009-08-27,4250.0000,4312.0000,4223.0000,4271.0000,2480188.00,106025828352
2009-08-28,4288.0000,4333.0000,4250.0000,4272.0000,2079554.00,89244794880
2009-08-31,4261.0000,4271.0000,4115.0000,4133.0000,1196214.00,50046021632
2009-09-01,4098.0000,4127.0000,4054.0000,4075.0000,2298522.00,94099439616
2009-09-02,4020.0000,4079.0000,4011.0000,4032.0000,2495062.00,100935090176
2009-09-03,4041.0000,4075.0000,4003.0000,4049.0000,2692972.00,108760645632
2009-09-04,4055.0000,4068.0000,4015.0000,4031.0000,2149974.00,86962511872
2009-09-07,4018.0000,4018.0000,3908.0000,3919.0000,2319506.00,91875483648
2009-09-08,3898.0000,3959.0000,3880.0000,3944.0000,2940662.00,115487383552
2009-09-09,3960.0000,4048.0000,3955.0000,4044.0000,3511382.00,140549308416
2009-09-10,4060.0000,4078.0000,4003.0000,4007.0000,3042352.00,123086462976
2009-09-11,4000.0000,4025.0000,3957.0000,3972.0000,2300404.00,91961671680
2009-09-14,3927.0000,3975.0000,3900.0000,3973.0000,2204152.00,86790569984
2009-09-15,3993.0000,3996.0000,3951.0000,3967.0000,2442764.00,97032331264
2009-09-16,3985.0000,4040.0000,3966.0000,4036.0000,2972124.00,119144628224
2009-09-17,4050.0000,4065.0000,3990.0000,3990.0000,2894650.00,116748410880
2009-09-18,3981.0000,3997.0000,3937.0000,3973.0000,2542940.00,100899184640
2009-09-21,3970.0000,4007.0000,3961.0000,3989.0000,2124888.00,84757987328
2009-09-22,3977.0000,3989.0000,3953.0000,3956.0000,1579692.00,62676766720
2009-09-23,3958.0000,3964.0000,3890.0000,3891.0000,1982280.00,77649502208
2009-09-24,3881.0000,3882.0000,3813.0000,3854.0000,1994462.00,76602540032
2009-09-25,3830.0000,3847.0000,3811.0000,3825.0000,1428766.00,54687793152
2009-09-28,3812.0000,3815.0000,3637.0000,3659.0000,1576644.00,58513793024
2009-09-29,3667.0000,3709.0000,3627.0000,3694.0000,955326.00,35123683328
2009-09-30,3749.0000,3772.0000,3709.0000,3735.0000,1001550.00,37355663360
2009-10-09,3760.0000,3795.0000,3673.0000,3674.0000,1369966.00,50834542592
2009-10-12,3634.0000,3700.0000,3610.0000,3695.0000,2780278.00,101880528896
2009-10-13,3690.0000,3707.0000,3657.0000,3665.0000,3021334.00,111176712192
2009-10-14,3655.0000,3693.0000,3652.0000,3678.0000,1978512.00,72782061568
2009-10-15,3679.0000,3758.0000,3678.0000,3756.0000,3455848.00,128842694656
2009-10-16,3761.0000,3829.0000,3760.0000,3829.0000,3382296.00,127968444416
2009-10-19,3830.0000,3961.0000,3830.0000,3865.0000,4873370.00,189419307008
2009-10-20,3880.0000,3899.0000,3810.0000,3842.0000,4400712.00,169333293056
2009-10-21,3838.0000,3894.0000,3826.0000,3887.0000,4327680.00,166953435136
2009-10-22,3920.0000,3940.0000,3854.0000,3855.0000,3798008.00,147927220224
2009-10-23,3860.0000,3912.0000,3855.0000,3891.0000,3262858.00,126760689664
2009-10-26,3898.0000,4005.0000,3898.0000,4001.0000,3803970.00,150610624512
2009-10-27,3988.0000,4014.0000,3952.0000,3971.0000,4219748.00,167887994880
2009-10-28,3968.0000,3968.0000,3858.0000,3865.0000,3985220.00,155947302912
2009-10-29,3820.0000,3854.0000,3787.0000,3835.0000,3560734.00,136089501696
2009-10-30,3879.0000,3895.0000,3845.0000,3875.0000,3493144.00,135049822208
2009-11-02,3843.0000,3916.0000,3828.0000,3910.0000,3874360.00,150016098304
2009-11-03,3910.0000,3940.0000,3876.0000,3881.0000,3823694.00,149606514688
2009-11-04,3886.0000,3903.0000,3866.0000,3889.0000,2265846.00,88057479168
2009-11-05,3880.0000,3895.0000,3878.0000,3885.0000,1028068.00,39954059264
2009-11-06,4020.0000,4065.0000,4020.0000,4064.0000,2115116.00,85500698624
2009-11-09,4065.0000,4125.0000,4055.0000,4110.0000,2741108.00,111876169728
2009-11-10,4128.0000,4144.0000,4078.0000,4081.0000,4093486.00,168164458496
2009-11-11,4094.0000,4114.0000,4060.0000,4066.0000,3384350.00,138344628224
2009-11-12,4074.0000,4085.0000,4033.0000,4048.0000,2801338.00,113580826624
2009-11-13,4031.0000,4071.0000,4007.0000,4069.0000,3108858.00,125526949888
2009-11-16,4071.0000,4085.0000,4051.0000,4057.0000,2375782.00,96694288384
2009-11-17,4075.0000,4079.0000,4033.0000,4040.0000,1720030.00,69776695296
2009-11-18,4046.0000,4053.0000,4029.0000,4045.0000,1227332.00,49622544384
2009-11-19,4038.0000,4137.0000,4035.0000,4115.0000,2827416.00,116002996224
2009-11-20,4130.0000,4156.0000,4086.0000,4109.0000,2400314.00,98834587648
2009-11-23,4122.0000,4193.0000,4117.0000,4186.0000,2460280.00,102328410112
2009-11-24,4170.0000,4198.0000,4092.0000,4118.0000,2614316.00,108717113344
2009-11-25,4129.0000,4140.0000,4103.0000,4129.0000,1586646.00,65396969472
2009-11-26,4140.0000,4157.0000,4064.0000,4077.0000,1528990.00,62800031744
2009-11-27,4052.0000,4055.0000,3915.0000,3939.0000,1439740.00,57351368704
2009-11-30,4336.0000,4404.0000,4322.0000,4375.0000,3268228.00,142898544640
2009-12-01,4390.0000,4408.0000,4331.0000,4367.0000,2929698.00,127750332416
2009-12-02,4388.0000,4409.0000,4361.0000,4377.0000,2660750.00,116628602880
2009-12-03,4383.0000,4396.0000,4366.0000,4385.0000,2102022.00,92091850752
2009-12-04,4368.0000,4381.0000,4336.0000,4374.0000,2500528.00,109029588992
2009-12-07,4354.0000,4395.0000,4354.0000,4373.0000,1983820.00,86811729920
2009-12-08,4380.0000,4385.0000,4288.0000,4318.0000,2779118.00,120107900928
2009-12-09,4284.0000,4290.0000,4246.0000,4267.0000,1871676.00,79962193920
2009-12-10,4267.0000,4337.0000,4250.0000,4334.0000,3354396.00,144058793984
2009-12-11,4350.0000,4401.0000,4350.0000,4396.0000,3160862.00,138337058816
2009-12-14,4400.0000,4433.0000,4331.0000,4430.0000,2822038.00,123725365248
2009-12-15,4430.0000,4438.0000,4384.0000,4394.0000,2691114.00,118658539520
2009-12-16,4387.0000,4419.0000,4370.0000,4392.0000,1644196.00,72296890368
2009-12-17,4415.0000,4431.0000,4375.0000,4386.0000,1735560.00,76430663680
2009-12-18,4350.0000,4389.0000,4349.0000,4379.0000,1061746.00,46429229056
2009-12-21,4389.0000,4418.0000,4372.0000,4418.0000,1170240.00,51376214016
2009-12-22,4411.0000,4438.0000,4403.0000,4405.0000,1933556.00,85473869824
2009-12-23,4410.0000,4427.0000,4393.0000,4408.0000,1166438.00,51465306112
2009-12-24,4428.0000,4478.0000,4413.0000,4461.0000,1507386.00,66972303360
2009-12-25,4461.0000,4478.0000,4442.0000,4459.0000,1129794.00,50397036544
2009-12-28,4465.0000,4538.0000,4463.0000,4525.0000,1346854.00,60744224768
2009-12-29,4525.0000,4547.0000,4488.0000,4499.0000,1430618.00,64562638848
2009-12-30,4497.0000,4515.0000,4477.0000,4486.0000,973818.00,43803181056
2009-12-31,4495.0000,4518.0000,4486.0000,4511.0000,976200.00,43955101696
2010-01-04,4523.0000,4610.0000,4523.0000,4579.0000,1809996.00,82828165120
2010-01-05,4592.0000,4606.0000,4572.0000,4589.0000,1320756.00,60631896064
2010-01-06,4587.0000,4635.0000,4581.0000,4622.0000,1481228.00,68439728128
2010-01-07,4641.0000,4650.0000,4389.0000,4489.0000,2196160.00,99691290624
2010-01-08,4505.0000,4510.0000,4412.0000,4462.0000,1520076.00,67743318016
2010-01-11,4495.0000,4518.0000,4475.0000,4516.0000,1130570.00,50898837504
2010-01-12,4505.0000,4528.0000,4480.0000,4510.0000,1176288.00,52970471424
2010-01-13,4420.0000,4460.0000,4354.0000,4418.0000,1461688.00,64617930752
2010-01-14,4450.0000,4464.0000,4430.0000,4433.0000,1076498.00,47891382272
2010-01-15,4419.0000,4436.0000,4355.0000,4368.0000,1276950.00,56129261568
2010-01-18,4339.0000,4399.0000,4310.0000,4395.0000,1148302.00,50236596224
2010-01-19,4405.0000,4418.0000,4361.0000,4382.0000,1236092.00,54241964032
2010-01-20,4392.0000,4394.0000,4341.0000,4364.0000,1243448.00,54264602624
2010-01-21,4337.0000,4366.0000,4326.0000,4352.0000,960118.00,41707675648
2010-01-22,4319.0000,4335.0000,4257.0000,4288.0000,1207020.00,51882598400
2010-01-25,4280.0000,4295.0000,4265.0000,4278.0000,870946.00,37282439168
2010-01-26,4286.0000,4290.0000,4258.0000,4265.0000,818680.00,34960953344
2010-01-27,4275.0000,4327.0000,4265.0000,4316.0000,1452742.00,62462361600
2010-01-28,4260.0000,4319.0000,4255.0000,4293.0000,1793390.00,77033881600
2010-01-29,4281.0000,4315.0000,4276.0000,4300.0000,1234868.00,53075750912
2010-02-01,4317.0000,4334.0000,4276.0000,4295.0000,1156486.00,49685807104
2010-02-02,4316.0000,4323.0000,4126.0000,4159.0000,2453186.00,103268204544
2010-02-03,4175.0000,4188.0000,4136.0000,4180.0000,1448904.00,60348870656
2010-02-04,4150.0000,4158.0000,4093.0000,4115.0000,1152398.00,47521218560
2010-02-05,4090.0000,4110.0000,4066.0000,4109.0000,849138.00,34715918336
2010-02-08,4120.0000,4139.0000,4103.0000,4129.0000,577962.00,23829772288
2010-02-09,4123.0000,4166.0000,4115.0000,4157.0000,617652.00,25555294208
2010-02-10,4172.0000,4219.0000,4156.0000,4198.0000,732940.00,30718466048
2010-02-11,4210.0000,4236.0000,4190.0000,4229.0000,497494.00,20979150848
2010-02-12,4246.0000,4299.0000,4233.0000,4293.0000,599774.00,25648619520
2010-02-22,4330.0000,4376.0000,4229.0000,4243.0000,1055136.00,45147922432
2010-02-23,4240.0000,4297.0000,4220.0000,4283.0000,1147210.00,49021247488
2010-02-24,4261.0000,4281.0000,4233.0000,4253.0000,1098624.00,46720475136
2010-02-25,4258.0000,4263.0000,4191.0000,4209.0000,929826.00,39370555392
2010-02-26,4208.0000,4219.0000,4175.0000,4214.0000,703304.00,29514180608
2010-03-01,4233.0000,4256.0000,4190.0000,4209.0000,520590.00,21953144832
2010-03-02,4666.0000,4670.0000,4598.0000,4609.0000,850004.00,39362899968
2010-03-03,4630.0000,4630.0000,4572.0000,4586.0000,857462.00,39409905664
2010-03-04,4590.0000,4596.0000,4522.0000,4528.0000,1139868.00,51929157632
2010-03-05,4528.0000,4564.0000,4513.0000,4560.0000,972182.00,44182601728
2010-03-08,4578.0000,4628.0000,4572.0000,4626.0000,1078198.00,49711054848
2010-03-09,4615.0000,4648.0000,4596.0000,4636.0000,1233638.00,57065123840
2010-03-10,4642.0000,4664.0000,4619.0000,4649.0000,1473124.00,68363898880
2010-03-11,4657.0000,4673.0000,4603.0000,4652.0000,2179364.00,101231083520
2010-03-12,4669.0000,4678.0000,4647.0000,4658.0000,1492582.00,69558501376
2010-03-15,4661.0000,4675.0000,4634.0000,4660.0000,1417516.00,65966739456
2010-03-16,4650.0000,4794.0000,4646.0000,4780.0000,3010260.00,142559690752
2010-03-17,4799.0000,4828.0000,4741.0000,4763.0000,3359552.00,160631586816
2010-03-18,4756.0000,4772.0000,4730.0000,4733.0000,2106268.00,100076429312
2010-03-19,4736.0000,4767.0000,4721.0000,4757.0000,1684262.00,79988310016
2010-03-22,4751.0000,4812.0000,4751.0000,4768.0000,2049968.00,98036269056
2010-03-23,4777.0000,4788.0000,4738.0000,4742.0000,1517210.00,72320360448
2010-03-24,4750.0000,4785.0000,4731.0000,4778.0000,1723924.00,82185011200
2010-03-25,4790.0000,4814.0000,4771.0000,4796.0000,1511786.00,72436908032
2010-03-26,4801.0000,4848.0000,4787.0000,4793.0000,2573042.00,123911028736
2010-03-29,4812.0000,4825.0000,4782.0000,4810.0000,1763838.00,84733861888
2010-03-30,4815.0000,4829.0000,4755.0000,4761.0000,1950698.00,93440409600
2010-03-31,4766.0000,4775.0000,4744.0000,4755.0000,1408260.00,67046121472
2010-04-01,4765.0000,4766.0000,4725.0000,4753.0000,1429706.00,67929997312
2010-04-02,4763.0000,4788.0000,4758.0000,4786.0000,1031424.00,49224114176
2010-04-06,4799.0000,4832.0000,4794.0000,4824.0000,1307376.00,62926938112
2010-04-07,4839.0000,4854.0000,4829.0000,4846.0000,1288222.00,62359400448
2010-04-08,4843.0000,4846.0000,4801.0000,4810.0000,1165992.00,56241086464
2010-04-09,4816.0000,4850.0000,4805.0000,4848.0000,1302658.00,62943113216
2010-04-12,4865.0000,4885.0000,4853.0000,4872.0000,1533734.00,74693787648
2010-04-13,4865.0000,4898.0000,4863.0000,4881.0000,1749724.00,85382987776
2010-04-14,4890.0000,4896.0000,4852.0000,4854.0000,1743728.00,84942839808
2010-04-15,4852.0000,4863.0000,4812.0000,4819.0000,1949828.00,94313218048
2010-04-16,4817.0000,4843.0000,4804.0000,4838.0000,1656806.00,79964372992
2010-04-19,4802.0000,4817.0000,4733.0000,4752.0000,2397786.00,114416050176
2010-04-20,4770.0000,4777.0000,4744.0000,4772.0000,1686264.00,80311926784
2010-04-21,4765.0000,4772.0000,4733.0000,4759.0000,1698588.00,80770768896
2010-04-22,4750.0000,4767.0000,4728.0000,4734.0000,1372024.00,65163517952
2010-04-23,4732.0000,4746.0000,4723.0000,4740.0000,1211784.00,57411833856
2010-04-26,4758.0000,4763.0000,4724.0000,4734.0000,1249174.00,59226910720
2010-04-27,4721.0000,4726.0000,4667.0000,4678.0000,1613854.00,75685076992
2010-04-28,4621.0000,4649.0000,4585.0000,4588.0000,1844532.00,85212700672
2010-04-29,4594.0000,4619.0000,4577.0000,4583.0000,1839246.00,84590116864
2010-04-30,4596.0000,4638.0000,4590.0000,4635.0000,1755184.00,80907657216
2010-05-04,4616.0000,4676.0000,4609.0000,4665.0000,2101884.00,97724047360
2010-05-05,4620.0000,4662.0000,4613.0000,4653.0000,2260862.00,104816082944
2010-05-06,4656.0000,4679.0000,4631.0000,4637.0000,2128592.00,99043672064
2010-05-07,4610.0000,4618.0000,4537.0000,4545.0000,2467400.00,112646504448
2010-05-10,4572.0000,4580.0000,4489.0000,4534.0000,2868580.00,129868161024
2010-05-11,4530.0000,4548.0000,4475.0000,4479.0000,2786906.00,125716783104
2010-05-12,4471.0000,4474.0000,4395.0000,4406.0000,3290276.00,145502683136
2010-05-13,4412.0000,4427.0000,4372.0000,4400.0000,3072762.00,135262019584
2010-05-14,4389.0000,4421.0000,4363.0000,4367.0000,2932552.00,128876339200
2010-05-17,4320.0000,4329.0000,4178.0000,4186.0000,3300006.00,139783208960
2010-05-18,4200.0000,4244.0000,4138.0000,4209.0000,4119684.00,172204392448
2010-05-19,4152.0000,4250.0000,4148.0000,4223.0000,3850530.00,161943011328
2010-05-20,4248.0000,4297.0000,4229.0000,4251.0000,3534040.00,150821289984
2010-05-21,4228.0000,4244.0000,4162.0000,4228.0000,3508858.00,147658670080
2010-05-24,4278.0000,4321.0000,4258.0000,4318.0000,2764508.00,118455721984
2010-05-25,4293.0000,4313.0000,4260.0000,4264.0000,3080458.00,131980886016
