time,open,high,low,last,volume,bid,ask,bsize1,asize1
2017-08-24 23:44:01.005002,279.30,279.75,278.80,279.35,50654.00,279.30,279.35,115,22
2017-08-24 23:44:01.504999,279.30,279.75,278.80,279.40,50706.00,279.30,279.40,115,105
2017-08-24 23:44:05.005000,279.30,279.75,278.80,279.40,50706.00,279.30,279.40,127,105
2017-08-24 23:44:06.005005,279.30,279.75,278.80,279.40,50706.00,279.30,279.40,127,106
2017-08-24 23:44:06.505002,279.30,279.75,278.80,279.40,50706.00,279.35,279.40,1,106
2017-08-24 23:44:07.504997,279.30,279.75,278.80,279.35,50708.00,279.30,279.35,127,7
2017-08-24 23:44:08.005004,279.30,279.75,278.80,279.35,50708.00,279.30,279.35,127,9
2017-08-24 23:44:08.505001,279.30,279.75,278.80,279.35,50708.00,279.30,279.35,127,4
2017-08-24 23:44:10.505000,279.30,279.75,278.80,279.35,50708.00,279.30,279.35,127,3
2017-08-24 23:44:12.505000,279.30,279.75,278.80,279.35,50708.00,279.30,279.35,126,5
2017-08-24 23:44:18.504997,279.30,279.75,278.80,279.35,50708.00,279.30,279.35,127,5
2017-08-24 23:44:19.005005,279.30,279.75,278.80,279.35,50708.00,279.30,279.35,128,5
2017-08-24 23:44:24.004998,279.30,279.75,278.80,279.30,50712.00,279.30,279.35,126,5
2017-08-24 23:44:24.505005,279.30,279.75,278.80,279.30,50712.00,279.30,279.35,126,7
2017-08-24 23:44:28.505003,279.30,279.75,278.80,279.30,50712.00,279.30,279.35,126,8
2017-08-24 23:44:30.004995,279.30,279.75,278.80,279.30,50712.00,279.30,279.35,126,10
2017-08-24 23:44:40.005001,279.30,279.75,278.80,279.35,50732.00,279.30,279.40,126,108
2017-08-24 23:44:42.005001,279.30,279.75,278.80,279.35,50732.00,279.30,279.35,125,1
2017-08-24 23:44:44.005000,279.30,279.75,278.80,279.30,50734.00,279.30,279.35,124,1
2017-08-24 23:44:46.004999,279.30,279.75,278.80,279.30,50734.00,279.30,279.35,125,1
2017-08-24 23:44:46.504996,279.30,279.75,278.80,279.35,50740.00,279.35,279.40,2,108
2017-08-24 23:44:47.005004,279.30,279.75,278.80,279.35,50744.00,279.30,279.35,126,1
2017-08-24 23:44:47.505001,279.30,279.75,278.80,279.35,50744.00,279.30,279.40,126,108
2017-08-24 23:44:48.004998,279.30,279.75,278.80,279.35,50744.00,279.30,279.40,125,108
2017-08-24 23:44:50.004997,279.30,279.75,278.80,279.35,50744.00,279.30,279.35,125,2
2017-08-24 23:44:50.505005,279.30,279.75,278.80,279.35,50744.00,279.30,279.35,126,2
2017-08-24 23:44:51.005002,279.30,279.75,278.80,279.35,50748.00,279.35,279.40,6,108
2017-08-24 23:44:51.504999,279.30,279.75,278.80,279.35,50748.00,279.35,279.40,7,108
2017-08-24 23:44:52.505004,279.30,279.75,278.80,279.35,50762.00,279.30,279.40,125,108
2017-08-24 23:44:53.005001,279.30,279.75,278.80,279.35,50762.00,279.30,279.40,124,108
2017-08-24 23:44:55.504998,279.30,279.75,278.80,279.35,50762.00,279.30,279.40,125,108
2017-08-24 23:44:57.005000,279.30,279.75,278.80,279.35,50762.00,279.30,279.35,125,1
2017-08-24 23:44:57.504997,279.30,279.75,278.80,279.35,50764.00,279.35,279.40,1,108
2017-08-24 23:44:58.005004,279.30,279.75,278.80,279.40,50768.00,279.30,279.40,126,107
2017-08-24 23:44:58.505002,279.30,279.75,278.80,279.40,50768.00,279.30,279.40,125,107
2017-08-24 23:44:59.504996,279.30,279.75,278.80,279.40,50768.00,279.30,279.40,125,108
2017-08-24 23:45:00.005004,279.30,279.75,278.80,279.40,50768.00,279.30,279.40,125,111
2017-08-24 23:45:00.505001,279.30,279.75,278.80,279.40,50768.00,279.30,279.35,125,2
2017-08-24 23:45:01.004998,279.30,279.75,278.80,279.40,50768.00,279.30,279.35,125,5
2017-08-24 23:45:01.504995,279.30,279.75,278.80,279.40,50768.00,279.30,279.35,125,6
2017-08-24 23:45:06.005001,279.30,279.75,278.80,279.35,50770.00,279.30,279.35,125,5
2017-08-24 23:45:06.504998,279.30,279.75,278.80,279.35,50776.00,279.30,279.35,125,2
2017-08-24 23:45:08.005000,279.30,279.75,278.80,279.35,50778.00,279.30,279.35,124,1
2017-08-24 23:45:09.005005,279.30,279.75,278.80,279.35,50780.00,279.30,279.40,124,108
2017-08-24 23:45:12.004999,279.30,279.75,278.80,279.35,50780.00,279.35,279.40,1,108
2017-08-24 23:45:14.004998,279.30,279.75,278.80,279.35,50780.00,279.35,279.40,2,108
2017-08-24 23:45:17.005002,279.30,279.75,278.80,279.35,50784.00,279.30,279.40,125,108
2017-08-24 23:45:24.005004,279.30,279.75,278.80,279.35,50784.00,279.30,279.40,126,108
2017-08-24 23:45:28.505000,279.30,279.75,278.80,279.35,50784.00,279.35,279.40,3,107
2017-08-24 23:45:29.004997,279.30,279.75,278.80,279.35,50784.00,279.35,279.40,6,107
2017-08-24 23:45:29.505005,279.30,279.75,278.80,279.35,50784.00,279.30,279.40,126,107
2017-08-24 23:45:36.004999,279.30,279.75,278.80,279.35,50784.00,279.35,279.40,1,107
2017-08-24 23:45:45.005001,279.30,279.75,278.80,279.35,50784.00,279.35,279.40,2,107
2017-08-24 23:45:47.005000,279.30,279.75,278.80,279.35,50788.00,279.30,279.40,126,107
2017-08-24 23:45:47.504997,279.30,279.75,278.80,279.35,50788.00,279.30,279.35,126,1
2017-08-24 23:45:50.505001,279.30,279.75,278.80,279.35,50790.00,279.30,279.40,126,108
2017-08-24 23:45:52.505000,279.30,279.75,278.80,279.30,50796.00,279.30,279.40,120,108
2017-08-24 23:45:53.004998,279.30,279.75,278.80,279.30,50796.00,279.30,279.40,120,124
2017-08-24 23:45:54.005002,279.30,279.75,278.80,279.30,50796.00,279.30,279.40,121,124
2017-08-24 23:45:56.504999,279.30,279.75,278.80,279.30,50798.00,279.30,279.40,120,124
2017-08-24 23:45:57.004996,279.30,279.75,278.80,279.30,50798.00,279.30,279.35,120,1
2017-08-24 23:46:00.005000,279.30,279.75,278.80,279.30,50798.00,279.30,279.35,119,4
2017-08-24 23:46:00.504997,279.30,279.75,278.80,279.30,50798.00,279.30,279.35,119,7
2017-08-24 23:46:01.505002,279.30,279.75,278.80,279.30,50798.00,279.30,279.35,122,4
2017-08-24 23:46:03.505001,279.30,279.75,278.80,279.35,50806.00,279.35,279.40,6,124
2017-08-24 23:46:04.004998,279.30,279.75,278.80,279.35,50806.00,279.35,279.40,15,124
2017-08-24 23:46:04.504996,279.30,279.75,278.80,279.35,50806.00,279.35,279.40,9,124
2017-08-24 23:46:11.005001,279.30,279.75,278.80,279.35,50806.00,279.35,279.40,11,112
2017-08-24 23:46:11.504998,279.30,279.75,278.80,279.35,50818.00,279.35,279.40,5,114
2017-08-24 23:46:13.005000,279.30,279.75,278.80,279.35,50818.00,279.35,279.40,5,98
2017-08-24 23:46:14.005005,279.30,279.75,278.80,279.35,50818.00,279.35,279.40,5,93
2017-08-24 23:46:17.004998,279.30,279.75,278.80,279.35,50818.00,279.35,279.40,8,91
